
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
68:72:51:22:A2:D6, 2017-05-28 19:54:19, 2017-05-28 19:54:57,  2,  54, WPA2, CCMP,PSK, -80,        4,        0,   0.  0.  0.  0,  10, 6myChmNu2m, 
00:11:7C:0C:4D:E9, 2017-05-28 19:54:07, 2017-05-28 19:54:07, 12,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
D0:03:4B:66:47:3A, 2017-05-28 19:54:12, 2017-05-28 19:54:12, 11,  54, WPA2, CCMP,PSK, -92,        0,        0,   0.  0.  0.  0,   8, RE Video, 
2C:5D:93:27:B4:68, 2017-05-28 19:54:26, 2017-05-28 19:54:26, 11,  54, OPN, ,   , -87,        1,        0,   0.  0.  0.  0,  11, Hyatt_GUEST, 
30:5A:3A:74:6F:B2, 2017-05-28 19:54:27, 2017-05-28 19:54:27,  1,  54, OPN, ,   , -84,        0,        0,   0.  0.  0.  0,  18, @Hofbrauhaus Wi-Fi, 
00:25:00:FF:94:73, 2017-05-28 19:54:07, 2017-05-28 19:54:27, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
2C:5D:93:27:14:E8, 2017-05-28 19:54:46, 2017-05-28 19:54:56,  1,  54, OPN, ,   , -85,        0,       18, 172. 16.163.176,  11, Hyatt_GUEST, 
E8:94:F6:50:B0:D6, 2017-05-28 19:54:33, 2017-05-28 19:54:57,  2,  54, WPA2, CCMP,PSK, -85,        2,        0,   0.  0.  0.  0,   9, AccuServe, 
B4:C7:99:7D:AD:60, 2017-05-28 19:54:19, 2017-05-28 19:54:54,  4,  54, WPA2 WPA, CCMP TKIP,PSK, -83,        5,        0,   0.  0.  0.  0,   1, \x00, 
B4:C7:99:7D:AD:65, 2017-05-28 19:54:11, 2017-05-28 19:54:54,  4,  54, WPA2 WPA, CCMP TKIP,PSK, -83,        6,        0,   0.  0.  0.  0,   1, \x00, 
B4:C7:99:7D:AD:61, 2017-05-28 19:54:34, 2017-05-28 19:54:49,  4,  54, WPA2 WPA, CCMP TKIP,PSK, -82,        4,        0,   0.  0.  0.  0,   1, \x00, 
B4:C7:99:7D:AD:62, 2017-05-28 19:54:15, 2017-05-28 19:54:50,  4,  54, WPA2 WPA, TKIP,PSK, -82,        7,        0,   0.  0.  0.  0,   8, 23121141, 
B4:C7:99:7D:AD:63, 2017-05-28 19:54:33, 2017-05-28 19:54:49,  4,  54, WPA2 WPA, CCMP TKIP,PSK, -82,        3,        0,   0.  0.  0.  0,   1, \x00, 
B4:C7:99:7D:AD:67, 2017-05-28 19:54:35, 2017-05-28 19:54:44,  4,  54, WPA2 WPA, CCMP TKIP, MGT, -82,        2,        0,   0.  0.  0.  0,   1, \x00, 
B0:00:B4:61:D7:41, 2017-05-28 19:54:17, 2017-05-28 19:54:56,  1,  54, OPN, ,   , -82,       13,        2,   0.  0.  0.  0,   9, CableWiFi, 
B4:C7:99:7D:AD:68, 2017-05-28 19:54:20, 2017-05-28 19:54:54,  4,  54, WPA2 WPA, TKIP, MGT, -81,        6,        0,   0.  0.  0.  0,  10, 102100199x, 
B0:00:B4:61:D7:40, 2017-05-28 19:54:08, 2017-05-28 19:54:51,  1,  54, OPN, ,   , -81,       10,       13, 100. 65.165. 44,   7, CoxWiFi, 
A4:13:4E:4C:3D:61, 2017-05-28 19:54:06, 2017-05-28 19:54:56,  6,  54, WPA, CCMP,PSK, -80,       18,      193,   0.  0.  0.  0,   8, FERRAROS, 
A4:13:4E:4C:3D:62, 2017-05-28 19:54:03, 2017-05-28 19:54:55,  6,  54, WPA, CCMP,PSK, -80,       15,      193,   0.  0.  0.  0,  14, FERRAROS GUEST, 
A4:13:4E:41:CA:91, 2017-05-28 19:54:03, 2017-05-28 19:54:54,  6,  54, WPA, CCMP,PSK, -79,       22,      216,   0.  0.  0.  0,   8, FERRAROS, 
A6:13:4E:41:CA:90, 2017-05-28 19:54:07, 2017-05-28 19:54:50,  6,  54, WPA, CCMP,PSK, -78,       19,        0,   0.  0.  0.  0,  14, FERRAROS GUEST, 
D0:03:4B:D4:ED:0A, 2017-05-28 19:54:50, 2017-05-28 19:54:50, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D0:66:7B:9B:55:F6, 2017-05-28 19:54:34, 2017-05-28 19:54:50, -90,        2, (not associated) ,AZUZA-PUB
A6:50:F4:A7:62:D4, 2017-05-28 19:54:49, 2017-05-28 19:54:49, -90,        2, (not associated) ,
18:EE:69:47:01:2D, 2017-05-28 19:54:03, 2017-05-28 19:54:34, -88,     3026, A4:13:4E:41:CA:91,
CC:29:F5:61:8B:62, 2017-05-28 19:54:23, 2017-05-28 19:54:31, -88,        9, A4:13:4E:41:CA:91,FERRAROS
F2:3B:48:D2:5E:57, 2017-05-28 19:54:42, 2017-05-28 19:54:42, -88,        1, (not associated) ,
40:88:05:3F:60:03, 2017-05-28 19:54:43, 2017-05-28 19:54:43, -87,        1, (not associated) ,
6C:27:79:A2:B2:18, 2017-05-28 19:54:21, 2017-05-28 19:54:21, -86,        1, (not associated) ,attwifi
D6:B2:AC:0A:D8:80, 2017-05-28 19:54:12, 2017-05-28 19:54:27, -86,        5, 00:25:00:FF:94:73,
40:83:DE:47:09:8A, 2017-05-28 19:54:49, 2017-05-28 19:54:49, -86,        1, B4:C7:99:7D:AD:62,
FC:42:03:7C:0B:1F, 2017-05-28 19:54:49, 2017-05-28 19:54:49, -86,        2, (not associated) ,
7C:50:49:68:2B:90, 2017-05-28 19:54:20, 2017-05-28 19:54:20, -85,        2, (not associated) ,CoxWiFi
4A:EC:27:D8:5C:7E, 2017-05-28 19:54:48, 2017-05-28 19:54:48, -85,        1, (not associated) ,
A6:34:FA:FC:F3:BD, 2017-05-28 19:54:35, 2017-05-28 19:54:35, -84,        2, (not associated) ,
DE:F4:32:CB:8D:F4, 2017-05-28 19:54:07, 2017-05-28 19:54:17, -83,        2, 00:25:00:FF:94:73,
F6:81:06:2D:8E:C7, 2017-05-28 19:54:12, 2017-05-28 19:54:12, -83,        1, 00:25:00:FF:94:73,
DA:27:F3:A9:AB:FD, 2017-05-28 19:54:27, 2017-05-28 19:54:27, -83,        1, (not associated) ,
A0:EC:80:F3:C7:DB, 2017-05-28 19:54:46, 2017-05-28 19:54:51, -83,       13, B0:00:B4:61:D7:40,
68:84:70:17:36:F4, 2017-05-28 19:54:54, 2017-05-28 19:54:54, -83,        1, (not associated) ,
B8:FF:61:12:A3:38, 2017-05-28 19:54:22, 2017-05-28 19:54:22, -81,        5, (not associated) ,NaheNahe,parlaw,BWBldgIId,Verizon MIFI4510L 5EBA Secure,ibahn
A0:CC:2B:96:83:5C, 2017-05-28 19:54:34, 2017-05-28 19:54:35, -80,        3, (not associated) ,
8C:7B:9D:70:C2:AA, 2017-05-28 19:54:31, 2017-05-28 19:54:31, -79,        1, (not associated) ,Google Starbucks
8C:F5:A3:0C:84:D0, 2017-05-28 19:54:36, 2017-05-28 19:54:56, -79,        9, B0:00:B4:61:D7:41,CableWiFi
7A:BE:A1:90:CF:72, 2017-05-28 19:54:41, 2017-05-28 19:54:41, -79,        3, (not associated) ,
30:85:A9:E1:AC:D1, 2017-05-28 19:54:22, 2017-05-28 19:54:43, -68,       33, (not associated) ,HP8D05126,SuperMegaFunHentaiPornserver
50:2E:5C:E6:7E:52, 2017-05-28 19:54:05, 2017-05-28 19:54:50, -20,       28, (not associated) ,
70:EC:E4:3A:BA:B7, 2017-05-28 19:54:56, 2017-05-28 19:54:56,  -1,       18, 2C:5D:93:27:14:E8,

