
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:F3:9C:F1:0F:F1, 2017-07-23 12:24:23, 2017-07-23 12:24:23, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:45:E5:82, 2017-07-23 12:22:44, 2017-07-23 12:25:36,  1,  54, WPA2, CCMP, MGT, -79,       21,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:45:E5:80, 2017-07-23 12:23:03, 2017-07-23 12:25:36,  1,  54, WPA2, CCMP, MGT, -78,       25,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0E:92, 2017-07-23 12:22:48, 2017-07-23 12:25:39, 11,  54, WPA2, CCMP, MGT, -69,       81,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:0E:90, 2017-07-23 12:22:48, 2017-07-23 12:25:39, 11,  54, WPA2, CCMP, MGT, -69,       77,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:EC:FD:70, 2017-07-23 12:22:48, 2017-07-23 12:25:39, 11,  54, WPA2, CCMP, MGT, -68,       79,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:EC:FD:72, 2017-07-23 12:22:48, 2017-07-23 12:25:39, 11,  54, WPA2, CCMP, MGT, -69,       77,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:0F:02, 2017-07-23 12:22:44, 2017-07-23 12:25:40,  1,  54, WPA2, CCMP, MGT, -61,       86,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:46:95:62, 2017-07-23 12:22:44, 2017-07-23 12:25:40,  1,  54, WPA2, CCMP, MGT, -58,       84,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:46:95:60, 2017-07-23 12:22:44, 2017-07-23 12:25:40,  1,  54, WPA2, CCMP, MGT, -58,       86,        4,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:E4:9B:C0, 2017-07-23 12:22:48, 2017-07-23 12:25:40,  6,  54, WPA2, CCMP, MGT, -46,       82,        2,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:E4:9B:C2, 2017-07-23 12:22:48, 2017-07-23 12:25:40,  6,  54, WPA2, CCMP, MGT, -47,       85,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:0F:00, 2017-07-23 12:22:44, 2017-07-23 12:25:40,  1,  54, WPA2, CCMP TKIP, MGT, -50,      337,        2,   0.  0.  0.  0,  11, UNLV-Secure, 
00:25:00:FF:94:73, 2017-07-23 12:22:48, 2017-07-23 12:25:30, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:24:D7:93:83:F4, 2017-07-23 12:23:57, 2017-07-23 12:23:57, -65,        4, (not associated) ,
8C:F5:A3:2E:92:63, 2017-07-23 12:22:48, 2017-07-23 12:23:59, -86,        7, (not associated) ,attwifi
00:22:41:93:C6:B8, 2017-07-23 12:23:22, 2017-07-23 12:23:34, -88,        4, (not associated) ,
34:02:86:4C:50:45, 2017-07-23 12:23:24, 2017-07-23 12:23:24, -86,        1, (not associated) ,
54:F2:01:44:BF:FB, 2017-07-23 12:23:01, 2017-07-23 12:23:01, -79,        1, (not associated) ,
CE:55:F3:A3:5E:DA, 2017-07-23 12:22:45, 2017-07-23 12:22:45, -86,        1, (not associated) ,
0A:A7:74:03:4B:13, 2017-07-23 12:23:39, 2017-07-23 12:23:39, -78,        3, (not associated) ,
AC:5F:3E:8A:22:A7, 2017-07-23 12:24:02, 2017-07-23 12:24:02, -76,        2, (not associated) ,
34:36:3B:80:FC:36, 2017-07-23 12:25:30, 2017-07-23 12:25:41, -87,        7, (not associated) ,
A4:F1:E8:B7:E6:A8, 2017-07-23 12:24:10, 2017-07-23 12:24:55, -89,        2, (not associated) ,
3C:F8:62:BB:0D:D7, 2017-07-23 12:22:51, 2017-07-23 12:25:31, -89,       12, (not associated) ,
BE:86:E4:5D:B6:C4, 2017-07-23 12:23:55, 2017-07-23 12:24:57, -87,        8, 00:25:00:FF:94:73,
00:24:D7:C8:94:DC, 2017-07-23 12:24:47, 2017-07-23 12:24:47, -86,        3, (not associated) ,UNLV-Guest
7E:BB:8A:CB:35:2E, 2017-07-23 12:22:48, 2017-07-23 12:25:39, -85,       23, (not associated) ,Nintendo_3DS_continuous_scan_000
1E:44:B9:2E:61:1F, 2017-07-23 12:22:48, 2017-07-23 12:25:30, -84,       26, 00:25:00:FF:94:73,
36:13:AA:FF:52:55, 2017-07-23 12:23:01, 2017-07-23 12:24:42, -81,        7, (not associated) ,
96:64:FE:A7:51:1F, 2017-07-23 12:22:56, 2017-07-23 12:25:07, -66,       56, (not associated) ,
EC:9B:F3:48:82:78, 2017-07-23 12:25:38, 2017-07-23 12:25:38, -88,        5, (not associated) ,attwifi

