
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:F3:9C:45:E5:80, 2017-07-23 14:09:34, 2017-07-23 14:10:06,  1,  54, WPA2, CCMP, MGT, -79,        3,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
1C:6A:7A:14:D1:7F, 2017-07-23 14:09:38, 2017-07-23 14:09:38,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:E8:D6:52, 2017-07-23 14:09:38, 2017-07-23 14:10:06,  6,  54, WPA2, CCMP, MGT, -79,       19,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:45:E5:82, 2017-07-23 14:09:30, 2017-07-23 14:10:02,  1,  54, WPA2, CCMP, MGT, -78,        5,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:E8:D6:50, 2017-07-23 14:09:34, 2017-07-23 14:10:06,  6,  54, WPA2, CCMP, MGT, -79,       19,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0E:92, 2017-07-23 14:09:33, 2017-07-23 14:10:05, 11,  54, WPA2, CCMP, MGT, -62,       16,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:0F:00, 2017-07-23 14:09:30, 2017-07-23 14:10:06,  1,  54, WPA2, CCMP, MGT, -62,       23,        2,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0E:90, 2017-07-23 14:09:33, 2017-07-23 14:10:05, 11,  54, WPA2, CCMP, MGT, -61,       17,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0F:02, 2017-07-23 14:09:30, 2017-07-23 14:10:06,  1,  54, WPA2, CCMP, MGT, -62,       20,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:46:95:60, 2017-07-23 14:09:30, 2017-07-23 14:10:06,  1,  54, WPA2, CCMP, MGT, -57,       20,        1,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:46:95:62, 2017-07-23 14:09:30, 2017-07-23 14:10:06,  1,  54, WPA2, CCMP, MGT, -58,       17,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:E4:9B:C2, 2017-07-23 14:09:34, 2017-07-23 14:10:06,  6,  54, WPA2, CCMP, MGT, -37,       33,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:E4:9B:C0, 2017-07-23 14:09:30, 2017-07-23 14:10:09,  6,  54, WPA2, CCMP TKIP, MGT, -35,      135,        0,   0.  0.  0.  0,  11, UNLV-Secure, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
68:B5:99:8D:43:68, 2017-07-23 14:09:32, 2017-07-23 14:09:32, -93,        1, (not associated) ,HP8D4368
68:B5:99:8E:B4:07, 2017-07-23 14:09:47, 2017-07-23 14:10:09, -91,        6, 02:2B:3B:04:89:FF,HP8EB407
68:17:29:B2:30:D6, 2017-07-23 14:10:04, 2017-07-23 14:10:04, -91,        2, (not associated) ,UNLV-Secure
8C:F5:A3:2E:92:63, 2017-07-23 14:09:30, 2017-07-23 14:09:59, -89,        5, (not associated) ,attwifi
4A:D5:86:73:5A:2F, 2017-07-23 14:09:48, 2017-07-23 14:09:53, -88,        3, (not associated) ,
5C:70:A3:66:96:B0, 2017-07-23 14:09:38, 2017-07-23 14:09:38, -86,        2, (not associated) ,
68:B5:99:8D:05:12, 2017-07-23 14:09:55, 2017-07-23 14:10:09, -92,        7, 02:2C:6C:6E:A7:69,
A8:7C:01:63:D2:E7, 2017-07-23 14:09:48, 2017-07-23 14:09:48, -85,        4, (not associated) ,
A0:02:DC:48:43:A0, 2017-07-23 14:09:54, 2017-07-23 14:09:54, -85,        5, (not associated) ,
34:02:86:4C:50:45, 2017-07-23 14:10:01, 2017-07-23 14:10:01, -85,        1, (not associated) ,
00:22:41:93:C6:B8, 2017-07-23 14:09:58, 2017-07-23 14:09:58, -82,        1, (not associated) ,Peter Pan Free Onboard Wifi
BE:BD:52:52:E1:37, 2017-07-23 14:09:48, 2017-07-23 14:09:48, -81,        1, (not associated) ,
60:57:18:54:D5:12, 2017-07-23 14:10:00, 2017-07-23 14:10:00, -81,        2, (not associated) ,UNLV-Secure
3C:F8:62:BB:0D:D7, 2017-07-23 14:09:51, 2017-07-23 14:09:52, -79,        2, (not associated) ,
20:D1:60:06:D4:63, 2017-07-23 14:09:34, 2017-07-23 14:09:47, -78,      134, 58:F3:9C:E4:9B:C1,
B6:39:12:CF:5F:C3, 2017-07-23 14:09:53, 2017-07-23 14:09:57, -63,        5, (not associated) ,
8C:A9:82:81:3C:56, 2017-07-23 14:10:02, 2017-07-23 14:10:02, -63,        2, 58:F3:9C:F1:0F:00,
18:4F:32:AA:3D:9B, 2017-07-23 14:09:34, 2017-07-23 14:10:06, -57,       50, 58:F3:9C:E4:9B:C1,
E8:50:8B:EE:5B:46, 2017-07-23 14:09:57, 2017-07-23 14:09:57, -59,       12, (not associated) ,attwifi
30:85:A9:E1:AC:D1, 2017-07-23 14:09:40, 2017-07-23 14:09:53, -46,       34, 58:F3:9C:46:95:60,HP8D05126,SuperMegaFunHentaiPornserver

