
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
14:91:82:F0:0C:26, 2017-07-24 10:29:29, 2017-07-24 11:06:28, 10,  54, WPA2, CCMP,PSK, -89,       73,        0,   0.  0.  0.  0,   9, HausAvila, 
10:0D:7F:E2:1D:02, 2017-07-24 10:29:21, 2017-07-24 11:06:18,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       98,      101,   0.  0.  0.  0,   6, E21D02, 
04:BF:6D:E0:50:CE, 2017-07-24 10:36:47, 2017-07-24 11:05:54, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -88,       11,        0,   0.  0.  0.  0,  15, CenturyLink9365, 
EC:0E:C4:0D:2A:62, 2017-07-24 10:32:07, 2017-07-24 11:05:41, 11,  54, WPA2 WPA OPN, CCMP TKIP,PSK, -90,       22,        6,   0.  0.  0.  0,  18, DDW365.0D2A62-2.4G, 
9C:34:26:FC:11:6F, 2017-07-24 10:29:21, 2017-07-24 10:57:41, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -91,       11,        0,   0.  0.  0.  0,   8, Madden01, 
04:BF:6D:E6:E2:C7, 2017-07-24 10:32:32, 2017-07-24 10:56:41,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -91,        9,        0,   0.  0.  0.  0,  15, CenturyLink7882, 
B0:A7:37:AD:D4:15, 2017-07-24 10:30:01, 2017-07-24 10:30:39,  8,  54, WPA2, CCMP,PSK, -88,        3,        0,   0.  0.  0.  0,  15, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
10:DA:43:09:2B:BC, 2017-07-24 10:30:37, 2017-07-24 10:41:37,  6,  54, WPA2, CCMP,PSK, -89,        7,        0,   0.  0.  0.  0,   8, IJHDNTIP, 
10:DA:43:20:4A:31, 2017-07-24 10:30:11, 2017-07-24 10:42:37,  3,  54, WPA2, CCMP,PSK, -90,        2,        0,   0.  0.  0.  0,   9, NETGEAR27, 
D8:84:66:64:98:F8, 2017-07-24 10:53:58, 2017-07-24 10:53:58, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
3C:7A:8A:F9:B4:BA, 2017-07-24 10:29:26, 2017-07-24 11:03:36,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       38,        0,   0.  0.  0.  0,   6, F9B4BA, 
2C:33:7A:96:D2:4A, 2017-07-24 10:30:46, 2017-07-24 11:05:37, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -91,       64,        4,   0.  0.  0.  0,  10, Cox Router, 
10:0D:7F:DB:09:43, 2017-07-24 10:29:26, 2017-07-24 11:06:25,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -89,        7,        3,   0.  0.  0.  0,   6, DB0943, 
10:0D:7F:DC:83:81, 2017-07-24 10:30:00, 2017-07-24 11:06:25,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -88,      139,       76,   0.  0.  0.  0,   6, DC8381, 
84:1B:5E:42:50:36, 2017-07-24 10:29:21, 2017-07-24 11:06:48,  6,  54, WPA2, CCMP,PSK, -91,      247,       10,   0.  0.  0.  0,   9, NETGEAR15, 
9C:AD:97:63:C5:23, 2017-07-24 10:29:17, 2017-07-24 11:06:49,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -91,      551,       11,   0.  0.  0.  0,  18, DDW365.63C523-2.4G, 
EC:AA:A0:95:94:68, 2017-07-24 10:29:20, 2017-07-24 11:06:53, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -89,      187,      195,   0.  0.  0.  0,   8, Wireless, 
38:70:0C:CB:62:58, 2017-07-24 10:29:25, 2017-07-24 11:06:43, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -88,      386,        2,   0.  0.  0.  0,   6, CB6258, 
10:0D:7F:DB:BB:8A, 2017-07-24 10:29:31, 2017-07-24 11:06:49,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -88,      328,      219,   0.  0.  0.  0,   8, Martinez, 
BC:EE:7B:7C:C4:08, 2017-07-24 10:29:18, 2017-07-24 11:06:50,  8,  54, WPA2, CCMP,PSK, -79,     1404,      186,   0.  0.  0.  0,   4, ASUS, 
78:24:AF:ED:AB:A0, 2017-07-24 10:29:17, 2017-07-24 11:06:48,  6,  54, WPA2, CCMP,PSK, -65,     2541,      290,   0.  0.  0.  0,  15, Prettyfly4awifi, 
B8:C7:5D:0C:A9:F7, 2017-07-24 10:29:17, 2017-07-24 11:06:52,  6,  54, WPA2, CCMP,PSK, -53,     3063,     1288,   0.  0.  0.  0,   6, Bender, 
D4:D7:48:45:79:01, 2017-07-24 10:52:21, 2017-07-24 11:06:52,  6,  11, WPA2, CCMP TKIP, MGT, -49,     1159,       25,   0.  0.  0.  0,  28, clvmobile\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
08:66:98:CB:9F:EC, 2017-07-24 10:34:15, 2017-07-24 11:05:49, -84,       10, 14:91:82:F0:0C:26,
20:A9:0E:01:15:4B, 2017-07-24 11:03:50, 2017-07-24 11:05:24, -88,        5, (not associated) ,
DA:A1:19:6E:6E:48, 2017-07-24 11:04:14, 2017-07-24 11:04:14, -82,        7, (not associated) ,
DA:A1:19:AF:16:5E, 2017-07-24 11:03:59, 2017-07-24 11:03:59, -85,        4, (not associated) ,
2C:08:8C:8C:BA:68, 2017-07-24 10:31:07, 2017-07-24 11:04:03, -88,       36, EC:0E:C4:0D:2A:62,DDW365.0D2A62-2.4G
56:D6:E8:65:44:B5, 2017-07-24 10:32:01, 2017-07-24 11:03:28, -87,       92, 00:25:00:FF:94:73,
EC:88:92:D7:DE:DC, 2017-07-24 10:30:27, 2017-07-24 11:02:47, -78,       34, (not associated) ,
DA:A1:19:D2:95:2E, 2017-07-24 11:02:13, 2017-07-24 11:02:14, -84,        8, (not associated) ,
2C:08:8C:20:F2:3C, 2017-07-24 10:41:59, 2017-07-24 11:01:59, -88,       13, (not associated) ,
CC:3A:61:35:F2:AB, 2017-07-24 10:29:52, 2017-07-24 11:01:52,  -1,        3, BC:EE:7B:7C:C4:08,
DA:A1:19:65:8F:D9, 2017-07-24 11:01:28, 2017-07-24 11:01:28, -84,        1, (not associated) ,
DA:A1:19:21:B1:87, 2017-07-24 10:59:58, 2017-07-24 10:59:59, -79,        3, (not associated) ,
DA:A1:19:B0:0E:B5, 2017-07-24 10:59:28, 2017-07-24 10:59:28, -79,        3, (not associated) ,
A0:18:28:E7:D5:EA, 2017-07-24 10:54:37, 2017-07-24 10:59:24, -87,        7, 68:7F:74:E8:7F:F6,
DA:A1:19:5B:95:8C, 2017-07-24 10:57:59, 2017-07-24 10:57:59, -89,        2, (not associated) ,
DA:A1:19:39:FC:58, 2017-07-24 10:57:28, 2017-07-24 10:57:28, -80,        1, (not associated) ,
DA:A1:19:BA:AE:30, 2017-07-24 10:57:13, 2017-07-24 10:57:13, -81,        6, (not associated) ,
DA:A1:19:5A:56:09, 2017-07-24 10:56:13, 2017-07-24 10:56:13, -86,        1, (not associated) ,
74:4A:A4:EC:C7:6E, 2017-07-24 10:54:47, 2017-07-24 10:55:23, -82,      126, D8:84:66:64:98:A8,
DA:A1:19:6E:74:7C, 2017-07-24 10:55:24, 2017-07-24 10:55:24, -86,        3, (not associated) ,
DA:A1:19:31:F2:DD, 2017-07-24 10:55:04, 2017-07-24 10:55:04, -83,        1, (not associated) ,UMC Wireless Guest Access
90:B6:86:62:61:F5, 2017-07-24 10:41:16, 2017-07-24 10:54:52, -81,        5, BC:EE:7B:7C:C4:08,
50:1A:C5:1A:59:09, 2017-07-24 10:30:49, 2017-07-24 10:54:48, -88,       10, BC:EE:7B:7C:C4:08,
DA:A1:19:C7:50:83, 2017-07-24 10:54:39, 2017-07-24 10:54:39, -80,        3, (not associated) ,
DA:A1:19:21:7D:98, 2017-07-24 10:53:59, 2017-07-24 10:54:01, -88,       18, D8:84:66:64:98:A8,UMC Wireless Guest Access
DA:A1:19:63:27:10, 2017-07-24 10:53:48, 2017-07-24 10:53:48, -84,        5, (not associated) ,
DA:A1:19:D3:D6:A6, 2017-07-24 10:53:52, 2017-07-24 10:53:52, -91,        2, (not associated) ,
DA:A1:19:D4:BA:A6, 2017-07-24 10:53:36, 2017-07-24 10:53:36, -82,        5, (not associated) ,
DA:A1:19:CD:F1:4E, 2017-07-24 10:53:16, 2017-07-24 10:53:16, -83,        3, (not associated) ,
DA:A1:19:21:C2:78, 2017-07-24 10:52:36, 2017-07-24 10:52:36, -81,        7, (not associated) ,
DA:A1:19:D7:D7:74, 2017-07-24 10:52:03, 2017-07-24 10:52:03, -83,        7, (not associated) ,
DA:A1:19:FF:2F:8F, 2017-07-24 10:52:01, 2017-07-24 10:52:01, -83,        4, (not associated) ,
30:96:FB:6D:80:DD, 2017-07-24 10:51:36, 2017-07-24 10:52:04, -88,       46, (not associated) ,
AC:5F:3E:C1:8C:52, 2017-07-24 10:34:52, 2017-07-24 10:50:52,  -1,        8, BC:EE:7B:7C:C4:08,
A4:B8:05:6B:C6:E4, 2017-07-24 10:49:59, 2017-07-24 10:49:59, -93,        1, (not associated) ,
FC:C2:DE:B2:1F:D1, 2017-07-24 10:37:51, 2017-07-24 10:48:52,  -1,        3, BC:EE:7B:7C:C4:08,
10:A5:D0:38:2C:B7, 2017-07-24 10:48:28, 2017-07-24 10:48:28, -85,        1, (not associated) ,
C0:D3:C0:50:32:1F, 2017-07-24 10:40:21, 2017-07-24 10:46:04,  -1,        2, 84:1B:5E:42:50:36,
B4:3A:28:FC:B6:48, 2017-07-24 10:37:51, 2017-07-24 10:45:51,  -1,        3, BC:EE:7B:7C:C4:08,
30:14:4A:3B:D8:25, 2017-07-24 10:30:49, 2017-07-24 10:45:37, -93,        2, (not associated) ,87B906
