
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
14:91:82:F0:0C:26, 2017-07-24 11:18:19, 2017-07-24 11:18:19, 10,  54, WPA2, CCMP,PSK, -95,        1,        0,   0.  0.  0.  0,   9, HausAvila, 
10:0D:7F:E2:1D:02, 2017-07-24 11:18:25, 2017-07-24 11:18:30,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -92,        3,        0,   0.  0.  0.  0,   6, E21D02, 
84:1B:5E:42:50:36, 2017-07-24 11:18:30, 2017-07-24 11:18:49,  6,  54, WPA2, CCMP,PSK, -90,        3,        0,   0.  0.  0.  0,   9, NETGEAR15, 
10:0D:7F:DC:83:81, 2017-07-24 11:18:30, 2017-07-24 11:18:40,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -90,        4,        0,   0.  0.  0.  0,   6, DC8381, 
10:0D:7F:DB:BB:8A, 2017-07-24 11:18:16, 2017-07-24 11:18:45,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -90,        9,        1,   0.  0.  0.  0,   8, Martinez, 
38:70:0C:CB:62:58, 2017-07-24 11:18:20, 2017-07-24 11:18:49, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -89,        4,        0,   0.  0.  0.  0,   6, CB6258, 
9C:AD:97:63:C5:23, 2017-07-24 11:18:16, 2017-07-24 11:18:35,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -89,        7,        0,   0.  0.  0.  0,  18, DDW365.63C523-2.4G, 
BC:EE:7B:7C:C4:08, 2017-07-24 11:18:18, 2017-07-24 11:18:47,  8,  54, WPA2, CCMP,PSK, -79,       22,        2,   0.  0.  0.  0,   4, ASUS, 
78:24:AF:ED:AB:A0, 2017-07-24 11:18:16, 2017-07-24 11:18:49,  6,  54, WPA2, CCMP,PSK, -68,       42,        3,   0.  0.  0.  0,  15, Prettyfly4awifi, 
B8:C7:5D:0C:A9:F7, 2017-07-24 11:18:17, 2017-07-24 11:18:49,  6,  54, WPA2, CCMP,PSK, -51,       52,       16,   0.  0.  0.  0,   6, Bender, 
D4:D7:48:45:79:01, 2017-07-24 11:18:16, 2017-07-24 11:18:46,  1,  11, WPA2, CCMP TKIP, MGT, -39,       39,        0,   0.  0.  0.  0,  15, clvmobile\x00\x00\x00\x00\x00\x00, 
00:25:00:FF:94:73, 2017-07-24 11:18:20, 2017-07-24 11:18:49, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D0:E7:82:F2:41:DF, 2017-07-24 11:18:42, 2017-07-24 11:18:42, -93,        1, (not associated) ,DC8381
56:D6:E8:65:44:B5, 2017-07-24 11:18:29, 2017-07-24 11:18:29, -88,        1, 00:25:00:FF:94:73,
A8:06:00:A0:C8:33, 2017-07-24 11:18:44, 2017-07-24 11:18:44, -88,       33, (not associated) ,04304E,043054,ABULACC317238
EA:B2:8E:DF:F2:4A, 2017-07-24 11:18:20, 2017-07-24 11:18:49, -84,       27, 00:25:00:FF:94:73,
80:29:94:08:B0:8D, 2017-07-24 11:18:28, 2017-07-24 11:18:28, -86,        2, (not associated) ,CenturyLink8943
40:16:3B:DC:C4:9A, 2017-07-24 11:18:29, 2017-07-24 11:18:29, -86,        1, (not associated) ,
DA:A1:19:C1:05:F0, 2017-07-24 11:18:33, 2017-07-24 11:18:33, -85,        1, (not associated) ,
DA:A1:19:F2:6D:21, 2017-07-24 11:18:22, 2017-07-24 11:18:22, -84,        1, (not associated) ,
DA:A1:19:8E:09:BD, 2017-07-24 11:18:33, 2017-07-24 11:18:33, -84,        1, (not associated) ,
DA:A1:19:7E:F9:AD, 2017-07-24 11:18:43, 2017-07-24 11:18:43, -84,        1, (not associated) ,
74:4A:A4:6C:71:50, 2017-07-24 11:18:24, 2017-07-24 11:18:24, -83,        3, (not associated) ,
DA:A1:19:F8:3C:27, 2017-07-24 11:18:44, 2017-07-24 11:18:44, -82,        1, (not associated) ,
F8:04:2E:DE:BE:67, 2017-07-24 11:18:35, 2017-07-24 11:18:37, -78,        5, (not associated) ,
00:26:82:DA:02:7D, 2017-07-24 11:18:45, 2017-07-24 11:18:45, -71,        2, (not associated) ,
14:1F:78:AF:34:56, 2017-07-24 11:18:30, 2017-07-24 11:18:30, -68,        2, 78:24:AF:ED:AB:A0,
6C:AD:F8:15:0B:0F, 2017-07-24 11:18:34, 2017-07-24 11:18:39, -46,        5, B8:C7:5D:0C:A9:F7,
50:2E:5C:E6:7E:52, 2017-07-24 11:18:20, 2017-07-24 11:18:49, -41,       28, B8:C7:5D:0C:A9:F7,
E8:61:7E:BF:AE:49, 2017-07-24 11:18:30, 2017-07-24 11:18:30,  -1,        1, 78:24:AF:ED:AB:A0,

