
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
3C:7A:8A:F9:B4:BA, 2017-07-24 11:23:22, 2017-07-24 11:43:48,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       24,        0,   0.  0.  0.  0,   6, F9B4BA, 
9C:34:26:FC:11:6F, 2017-07-24 11:22:15, 2017-07-24 11:43:48, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -91,       10,        0,   0.  0.  0.  0,   8, Madden01, 
06:41:69:1D:CF:0D, 2017-07-24 11:42:23, 2017-07-24 11:42:23,  6,  54, WPA2, CCMP,PSK, -87,        1,        0,   0.  0.  0.  0,  10, GP27818873, 
EC:0E:C4:0D:2A:62, 2017-07-24 11:22:34, 2017-07-24 11:40:14, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       11,        3,   0.  0.  0.  0,  18, DDW365.0D2A62-2.4G, 
14:91:82:F1:ED:D2, 2017-07-24 11:32:37, 2017-07-24 11:32:37, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
10:0D:7F:DD:BE:46, 2017-07-24 11:32:39, 2017-07-24 11:35:20,  1,  54, WPA2, CCMP,PSK, -91,        1,        1,   0.  0.  0.  0,   6, DDBE46, 
10:0D:7F:DB:09:43, 2017-07-24 11:23:37, 2017-07-24 11:37:33,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -91,        8,       23,   0.  0.  0.  0,   6, DB0943, 
2C:33:7A:96:D2:4A, 2017-07-24 11:22:10, 2017-07-24 11:38:43, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -91,        5,        1,   0.  0.  0.  0,  10, Cox Router, 
14:91:82:F0:0C:26, 2017-07-24 11:23:45, 2017-07-24 11:42:45, 10,  54, WPA2, CCMP,PSK, -90,       19,        0,   0.  0.  0.  0,   9, HausAvila, 
EC:AA:A0:95:94:68, 2017-07-24 11:22:29, 2017-07-24 11:42:56, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -91,       19,       15,   0.  0.  0.  0,   8, Wireless, 
84:1B:5E:42:50:36, 2017-07-24 11:22:01, 2017-07-24 11:42:56,  6,  54, WPA2, CCMP,PSK, -91,       60,        5,   0.  0.  0.  0,   9, NETGEAR15, 
04:BF:6D:E0:50:CE, 2017-07-24 11:34:22, 2017-07-24 11:44:07, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -92,        0,        0,   0.  0.  0.  0,  15, CenturyLink9365, 
10:0D:7F:E2:1D:02, 2017-07-24 11:21:57, 2017-07-24 11:44:07,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       47,       24,   0.  0.  0.  0,   6, E21D02, 
38:70:0C:CB:62:58, 2017-07-24 11:21:51, 2017-07-24 11:44:16, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -89,      140,        0,   0.  0.  0.  0,   6, CB6258, 
10:0D:7F:DC:83:81, 2017-07-24 11:21:48, 2017-07-24 11:44:32,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -91,      154,       59,   0.  0.  0.  0,   6, DC8381, 
9C:AD:97:63:C5:23, 2017-07-24 11:21:48, 2017-07-24 11:45:00,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -89,      316,        5,   0.  0.  0.  0,  18, DDW365.63C523-2.4G, 
10:0D:7F:DB:BB:8A, 2017-07-24 11:21:48, 2017-07-24 11:44:55,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -87,      315,      136,   0.  0.  0.  0,   8, Martinez, 
BC:EE:7B:7C:C4:08, 2017-07-24 11:21:49, 2017-07-24 11:45:01,  8,  54, WPA2, CCMP,PSK, -77,      956,      127,   0.  0.  0.  0,   4, ASUS, 
78:24:AF:ED:AB:A0, 2017-07-24 11:21:51, 2017-07-24 11:45:00,  6,  54, WPA2, CCMP,PSK, -69,     1827,      139,   0.  0.  0.  0,  15, Prettyfly4awifi, 
B8:C7:5D:0C:A9:F7, 2017-07-24 11:21:48, 2017-07-24 11:45:00,  6,  54, WPA2, CCMP,PSK, -51,     2098,    11621,   0.  0.  0.  0,   6, Bender, 
D4:D7:48:45:79:01, 2017-07-24 11:21:48, 2017-07-24 11:44:47,  1,  11, WPA2, CCMP TKIP, MGT, -36,     1420,       11,   0.  0.  0.  0,  28, clvmobile\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:A3:55:09, 2017-07-24 11:43:47, 2017-07-24 11:43:47, -83,        1, (not associated) ,
56:D6:E8:65:44:B5, 2017-07-24 11:23:31, 2017-07-24 11:43:42, -84,       38, 00:25:00:FF:94:73,
DA:A1:19:AC:71:5C, 2017-07-24 11:42:54, 2017-07-24 11:42:54, -82,        1, (not associated) ,
DA:A1:19:4D:49:FD, 2017-07-24 11:42:54, 2017-07-24 11:42:54, -84,        1, (not associated) ,
DA:A1:19:29:5C:47, 2017-07-24 11:42:55, 2017-07-24 11:42:55, -85,        1, (not associated) ,
DA:A1:19:5B:57:0B, 2017-07-24 11:42:55, 2017-07-24 11:42:55, -86,        1, (not associated) ,
DA:A1:19:EA:DC:06, 2017-07-24 11:41:19, 2017-07-24 11:41:19, -86,        4, (not associated) ,
DA:A1:19:C7:42:2D, 2017-07-24 11:41:18, 2017-07-24 11:41:18, -89,        1, (not associated) ,
DA:A1:19:4F:93:47, 2017-07-24 11:39:54, 2017-07-24 11:39:54, -82,        1, (not associated) ,
DA:A1:19:CD:11:FC, 2017-07-24 11:28:37, 2017-07-24 11:39:54, -86,        2, (not associated) ,
DA:A1:19:72:B6:A1, 2017-07-24 11:39:22, 2017-07-24 11:39:22, -82,        1, (not associated) ,
DA:A1:19:42:F4:DF, 2017-07-24 11:39:22, 2017-07-24 11:39:22, -86,        1, (not associated) ,
30:85:A9:E1:AC:D1, 2017-07-24 11:37:43, 2017-07-24 11:38:45, -42,       53, D4:D7:48:45:79:01,HP8D05126,SuperMegaFunHentaiPornserver
E8:61:7E:BF:AE:49, 2017-07-24 11:24:30, 2017-07-24 11:38:30,  -1,        5, 78:24:AF:ED:AB:A0,
DA:A1:19:72:ED:D8, 2017-07-24 11:37:57, 2017-07-24 11:37:57, -81,        1, (not associated) ,
DA:A1:19:FB:3F:F3, 2017-07-24 11:37:57, 2017-07-24 11:37:57, -81,        1, (not associated) ,
DA:A1:19:26:33:E7, 2017-07-24 11:37:47, 2017-07-24 11:37:47, -81,        1, (not associated) ,
DA:A1:19:1E:2B:DF, 2017-07-24 11:36:54, 2017-07-24 11:36:54, -82,        1, (not associated) ,
2C:08:8C:20:F2:3C, 2017-07-24 11:21:59, 2017-07-24 11:36:59, -87,       17, (not associated) ,
DA:A1:19:00:D6:8A, 2017-07-24 11:36:43, 2017-07-24 11:36:43, -81,        1, (not associated) ,
DA:A1:19:7F:8C:77, 2017-07-24 11:36:43, 2017-07-24 11:36:43, -86,        1, (not associated) ,
DA:A1:19:1A:95:80, 2017-07-24 11:35:08, 2017-07-24 11:35:08, -81,        1, (not associated) ,
DA:A1:19:D0:4B:36, 2017-07-24 11:35:08, 2017-07-24 11:35:08, -86,        1, (not associated) ,
DA:A1:19:4A:C5:B0, 2017-07-24 11:33:54, 2017-07-24 11:33:54, -81,        1, (not associated) ,
DA:A1:19:42:BD:71, 2017-07-24 11:33:43, 2017-07-24 11:33:43, -82,        1, (not associated) ,
DA:A1:19:E5:29:DD, 2017-07-24 11:33:44, 2017-07-24 11:33:44, -83,        1, (not associated) ,
DA:A1:19:53:CE:B9, 2017-07-24 11:33:44, 2017-07-24 11:33:44, -87,        1, (not associated) ,
DA:A1:19:F6:3A:EE, 2017-07-24 11:33:33, 2017-07-24 11:33:33, -82,        1, (not associated) ,
DA:A1:19:D1:15:00, 2017-07-24 11:32:08, 2017-07-24 11:32:08, -84,        1, (not associated) ,
DA:A1:19:7E:54:3F, 2017-07-24 11:31:47, 2017-07-24 11:31:47, -84,        1, (not associated) ,
DA:A1:19:C4:76:61, 2017-07-24 11:31:47, 2017-07-24 11:31:47, -85,        1, (not associated) ,
98:E7:F4:49:43:2C, 2017-07-24 11:31:22, 2017-07-24 11:31:22,  -1,        1, 84:1B:5E:42:50:36,
FC:C2:DE:25:09:EF, 2017-07-24 11:31:22, 2017-07-24 11:31:22,  -1,        4, 84:1B:5E:42:50:36,
DA:A1:19:77:BB:A6, 2017-07-24 11:30:43, 2017-07-24 11:30:43, -81,        1, (not associated) ,
DA:A1:19:55:D0:84, 2017-07-24 11:30:44, 2017-07-24 11:30:44, -82,        1, (not associated) ,
DA:A1:19:64:71:25, 2017-07-24 11:30:33, 2017-07-24 11:30:33, -80,        1, (not associated) ,
DA:A1:19:0F:C1:75, 2017-07-24 11:30:33, 2017-07-24 11:30:33, -84,        1, (not associated) ,
DA:A1:19:8C:E3:97, 2017-07-24 11:30:33, 2017-07-24 11:30:33, -87,        1, (not associated) ,
