
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
10:0D:7F:DB:09:43, 2017-07-24 12:47:45, 2017-07-24 12:55:26,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       11,        1,   0.  0.  0.  0,   6, DB0943, 
10:0D:7F:DC:83:81, 2017-07-24 12:46:05, 2017-07-24 12:55:12,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       56,       25,   0.  0.  0.  0,   6, DC8381, 
9C:34:26:FC:11:6F, 2017-07-24 12:46:42, 2017-07-24 12:55:02, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       12,        0,   0.  0.  0.  0,   8, Madden01, 
EC:0E:C4:0D:2A:62, 2017-07-24 12:46:52, 2017-07-24 12:53:36, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -91,        7,        2,   0.  0.  0.  0,  18, DDW365.0D2A62-2.4G, 
EC:1A:59:95:F5:14, 2017-07-24 12:46:29, 2017-07-24 12:53:13,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
14:91:82:F0:0C:26, 2017-07-24 12:48:26, 2017-07-24 12:48:26, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
84:1B:5E:42:50:36, 2017-07-24 12:46:24, 2017-07-24 12:55:21,  6,  54, WPA2, CCMP,PSK, -90,       14,        1,   0.  0.  0.  0,   9, NETGEAR15, 
10:0D:7F:DD:BE:46, 2017-07-24 12:46:20, 2017-07-24 12:55:36,  1,  54, WPA2, CCMP,PSK, -92,        6,        1,   0.  0.  0.  0,   6, DDBE46, 
20:25:64:FE:6A:C0, 2017-07-24 12:46:04, 2017-07-24 12:55:39, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -91,       58,       50,   0.  0.  0.  0,   6, fe6ac0, 
38:70:0C:CB:62:58, 2017-07-24 12:46:14, 2017-07-24 12:55:49, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       46,        0,   0.  0.  0.  0,   6, CB6258, 
3C:7A:8A:F9:B4:BA, 2017-07-24 12:46:33, 2017-07-24 12:55:49,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -90,        5,        0,   0.  0.  0.  0,   6, F9B4BA, 
10:0D:7F:DB:BB:8A, 2017-07-24 12:46:20, 2017-07-24 12:55:45,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       19,        1,   0.  0.  0.  0,   8, Martinez, 
9C:AD:97:63:C5:23, 2017-07-24 12:47:31, 2017-07-24 12:55:40,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -88,        1,        0,   0.  0.  0.  0,  18, DDW365.63C523-2.4G, 
BC:EE:7B:7C:C4:08, 2017-07-24 12:46:02, 2017-07-24 12:55:51,  8,  54, WPA2, CCMP,PSK, -79,      391,       28,   0.  0.  0.  0,   4, ASUS, 
78:24:AF:ED:AB:A0, 2017-07-24 12:46:01, 2017-07-24 12:55:50,  6,  54, WPA2, CCMP,PSK, -71,      824,      158,   0.  0.  0.  0,  15, Prettyfly4awifi, 
62:6D:C7:8B:EF:20, 2017-07-24 12:46:05, 2017-07-24 12:55:35,  6,  54, WPA2, CCMP,PSK, -66,      221,        0,   0.  0.  0.  0,  16, DIRECT-Me-BRAVIA, 
B8:C7:5D:0C:A9:F7, 2017-07-24 12:46:01, 2017-07-24 12:55:53,  6,  54, WPA2, CCMP,PSK, -56,      916,      685,   0.  0.  0.  0,   6, Bender, 
D4:D7:48:45:79:01, 2017-07-24 12:46:01, 2017-07-24 12:55:52,  1,  11, WPA2, CCMP TKIP, MGT, -51,      923,        0,   0.  0.  0.  0,  18, clvmobile\x00\x00\x00\x00\x00\x00\x00\x00\x00, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:36:01:2B, 2017-07-24 12:54:34, 2017-07-24 12:54:34, -81,        9, (not associated) ,
BC:76:5E:13:F4:29, 2017-07-24 12:54:34, 2017-07-24 12:54:34, -89,        7, (not associated) ,monkey's pc,belkin.dd2
DA:A1:19:B0:4C:A2, 2017-07-24 12:54:19, 2017-07-24 12:54:19, -82,        2, (not associated) ,
A8:06:00:A0:C8:33, 2017-07-24 12:49:55, 2017-07-24 12:53:55, -92,       43, (not associated) ,04304E,ABULACC317238,043054
DA:A1:19:A9:8C:9A, 2017-07-24 12:53:34, 2017-07-24 12:53:34, -79,        5, (not associated) ,
DA:A1:19:29:78:AF, 2017-07-24 12:53:19, 2017-07-24 12:53:19, -83,        4, (not associated) ,
74:4A:A4:6C:71:50, 2017-07-24 12:53:24, 2017-07-24 12:53:24, -85,        1, (not associated) ,
DA:A1:19:8A:6A:03, 2017-07-24 12:52:19, 2017-07-24 12:52:19, -88,        4, (not associated) ,
2C:08:8C:20:F2:3C, 2017-07-24 12:51:59, 2017-07-24 12:51:59, -90,        2, (not associated) ,
DA:A1:19:51:71:25, 2017-07-24 12:51:12, 2017-07-24 12:51:12, -87,        1, (not associated) ,
DA:A1:19:91:AF:B2, 2017-07-24 12:49:58, 2017-07-24 12:49:58, -84,        5, (not associated) ,
DA:A1:19:0E:D7:CB, 2017-07-24 12:48:32, 2017-07-24 12:48:32, -86,        1, (not associated) ,
DA:A1:19:BD:EE:17, 2017-07-24 12:47:47, 2017-07-24 12:47:47, -84,        1, (not associated) ,
E8:B1:FC:76:63:3A, 2017-07-24 12:46:56, 2017-07-24 12:46:56, -62,        3, (not associated) ,Bender
DA:A1:19:0D:6C:6E, 2017-07-24 12:46:47, 2017-07-24 12:46:47, -83,        3, (not associated) ,
DA:A1:19:38:E3:DB, 2017-07-24 12:46:32, 2017-07-24 12:46:32, -74,        6, (not associated) ,
DA:A1:19:14:0A:AF, 2017-07-24 12:46:20, 2017-07-24 12:46:20, -76,        7, (not associated) ,
DA:A1:19:A5:AD:8E, 2017-07-24 12:46:02, 2017-07-24 12:46:02, -85,        4, (not associated) ,
A0:CC:2B:98:39:07, 2017-07-24 12:46:03, 2017-07-24 12:46:03, -83,        3, (not associated) ,
DA:A1:19:32:FE:3D, 2017-07-24 12:46:17, 2017-07-24 12:46:17, -73,        8, (not associated) ,
DA:27:A3:D8:72:B4, 2017-07-24 12:46:50, 2017-07-24 12:46:50, -91,        1, (not associated) ,
DA:A1:19:8D:10:27, 2017-07-24 12:47:02, 2017-07-24 12:47:02, -88,        3, (not associated) ,
DA:A1:19:A0:E9:0E, 2017-07-24 12:47:17, 2017-07-24 12:47:17, -86,        8, (not associated) ,
08:66:98:CB:9F:EC, 2017-07-24 12:48:26, 2017-07-24 12:48:26, -89,        5, 14:91:82:F0:0C:26,
4C:60:DE:F7:B8:05, 2017-07-24 12:46:45, 2017-07-24 12:49:13, -93,        3, (not associated) ,belkin.5aff
D0:E7:82:F2:41:DF, 2017-07-24 12:46:39, 2017-07-24 12:49:15, -92,        7, 10:0D:7F:DC:83:81,DC8381
30:96:FB:8B:04:49, 2017-07-24 12:49:29, 2017-07-24 12:49:30, -66,        8, (not associated) ,
DA:A1:19:7F:E9:9D, 2017-07-24 12:50:03, 2017-07-24 12:50:03, -87,        1, (not associated) ,
DA:A1:19:FA:2D:E1, 2017-07-24 12:50:03, 2017-07-24 12:50:03, -87,        1, (not associated) ,
DA:A1:19:48:68:1C, 2017-07-24 12:50:14, 2017-07-24 12:50:14, -91,        1, (not associated) ,
DA:A1:19:EA:0A:F5, 2017-07-24 12:50:14, 2017-07-24 12:50:14, -86,        1, (not associated) ,
DA:A1:19:63:83:37, 2017-07-24 12:50:14, 2017-07-24 12:50:14, -85,        1, (not associated) ,
