
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
50:17:FF:35:C6:F1, 2017-07-25 12:06:09, 2017-07-25 12:06:09,  6,  54, WPA2, CCMP,PSK, -89,        1,        0,   0.  0.  0.  0,   1, \x00, 
C0:BD:D1:50:CB:39, 2017-07-25 12:06:09, 2017-07-25 12:06:09, 11,  54, WPA2, CCMP,PSK, -86,        1,        0,   0.  0.  0.  0,  26, Samsung Galaxy Note 4 9615, 
50:17:FF:57:EE:41, 2017-07-25 12:06:05, 2017-07-25 12:06:05,  1,  54, WPA2, CCMP,PSK, -85,        2,        0,   0.  0.  0.  0,   1, \x00, 
C0:25:5C:22:08:E1, 2017-07-25 12:06:05, 2017-07-25 12:06:10,  1,  54, WPA2, CCMP,PSK, -83,        2,        0,   0.  0.  0.  0,   1, \x00, 
C0:25:5C:96:C4:51, 2017-07-25 12:06:08, 2017-07-25 12:06:13, 11,  54, WPA2, CCMP,PSK, -84,        4,        0,   0.  0.  0.  0,   1, \x00, 
00:1A:8C:73:69:72, 2017-07-25 12:06:08, 2017-07-25 12:06:13, 11,  54, WPA2, CCMP,PSK, -81,        5,        0,   0.  0.  0.  0,  19, BSidesLasVegasPress, 
00:1A:8C:73:69:90, 2017-07-25 12:06:05, 2017-07-25 12:06:11,  1,  54, WPA2, CCMP,PSK, -83,        2,        0,   0.  0.  0.  0,  11, jens-iphone, 
00:1A:8C:73:69:75, 2017-07-25 12:06:08, 2017-07-25 12:06:12, 11,  54, WPA2, CCMP,PSK, -80,        8,        3,   0.  0.  0.  0,  29, BSidesPublicPassword:BSidesLV, 
C0:25:5C:8F:56:81, 2017-07-25 12:06:08, 2017-07-25 12:06:08, 11,  54, WPA2, CCMP,PSK, -80,        1,        0,   0.  0.  0.  0,   1, \x00, 
00:1A:8C:73:69:74, 2017-07-25 12:06:08, 2017-07-25 12:06:12, 11,  54, WPA2, CCMP,PSK, -79,        7,        0,   0.  0.  0.  0,  22, BSidesLasVegasSpeakers, 
D0:57:85:A8:D2:33, 2017-07-25 12:06:05, 2017-07-25 12:06:13,  6,  54, WPA2, CCMP TKIP,PSK, -79,        8,        0,   0.  0.  0.  0,  16, tandw-jetpack-01, 
00:1A:8C:73:69:70, 2017-07-25 12:06:08, 2017-07-25 12:06:13, 11,  54, WPA2, CCMP,PSK, -81,        7,        0,   0.  0.  0.  0,  11, jens-iphone, 
00:1A:8C:73:69:73, 2017-07-25 12:06:08, 2017-07-25 12:06:13, 11,  54, WPA2, CCMP,PSK, -80,        7,        0,   0.  0.  0.  0,  22, BSidesLasVegasSponsors, 
48:F8:B3:89:5A:92, 2017-07-25 12:06:05, 2017-07-25 12:06:11,  2,  54, WPA2, CCMP,PSK, -77,        5,        0,   0.  0.  0.  0,   5, Conv2, 
C0:25:5C:8F:53:11, 2017-07-25 12:06:09, 2017-07-25 12:06:09,  6,  54, WPA2, CCMP,PSK, -77,        1,        0,   0.  0.  0.  0,   1, \x00, 
5C:70:A3:7D:50:8E, 2017-07-25 12:06:05, 2017-07-25 12:06:10,  6,  54, WPA2, CCMP,PSK, -76,        3,        0,   0.  0.  0.  0,   2, 61, 
00:1A:8C:73:69:93, 2017-07-25 12:06:05, 2017-07-25 12:06:10,  1,  54, WPA2, CCMP,PSK, -75,        4,        0,   0.  0.  0.  0,  22, BSidesLasVegasSponsors, 
C0:25:5C:22:F2:B1, 2017-07-25 12:06:05, 2017-07-25 12:06:10,  1,  54, WPA2, CCMP,PSK, -75,        4,        0,   0.  0.  0.  0,   1, \x00, 
00:1A:8C:73:69:92, 2017-07-25 12:06:05, 2017-07-25 12:06:09,  1,  54, WPA2, CCMP,PSK, -75,        3,        0,   0.  0.  0.  0,  19, BSidesLasVegasPress, 
00:1A:8C:73:69:94, 2017-07-25 12:06:05, 2017-07-25 12:06:05,  1,  54, WPA2, CCMP,PSK, -75,        1,        0,   0.  0.  0.  0,  22, BSidesLasVegasSpeakers, 
00:1A:8C:73:69:95, 2017-07-25 12:06:05, 2017-07-25 12:06:09,  1,  54, WPA2, CCMP,PSK, -74,        2,        0,   0.  0.  0.  0,  29, BSidesPublicPassword:BSidesLV, 
64:BC:0C:46:D6:DA, 2017-07-25 12:06:08, 2017-07-25 12:06:12, 11,  54, WPA2, CCMP,PSK, -71,        4,        0,   0.  0.  0.  0,   6, dafuck, 
C0:25:5C:22:04:61, 2017-07-25 12:06:05, 2017-07-25 12:06:05,  1,  54, WPA2, CCMP,PSK, -73,        1,        0,   0.  0.  0.  0,   1, \x00, 
00:1A:8C:82:8E:A7, 2017-07-25 12:06:05, 2017-07-25 12:06:13,  6,  54, WPA2, CCMP,PSK, -63,       11,        0,   0.  0.  0.  0,  22, BSidesLasVegasSponsors, 
00:1A:8C:82:8E:A8, 2017-07-25 12:06:05, 2017-07-25 12:06:13,  6,  54, WPA2, CCMP,PSK, -65,       12,        1,   0.  0.  0.  0,  22, BSidesLasVegasSpeakers, 
00:1A:8C:82:8E:A9, 2017-07-25 12:06:05, 2017-07-25 12:06:13,  6,  54, WPA2, CCMP,PSK, -63,       14,        2,   0.  0.  0.  0,  29, BSidesPublicPassword:BSidesLV, 
00:1A:8C:82:8E:A4, 2017-07-25 12:06:05, 2017-07-25 12:06:13,  6,  54, WPA2, CCMP,PSK, -63,       13,        0,   0.  0.  0.  0,  11, jens-iphone, 
00:1A:8C:82:8E:A6, 2017-07-25 12:06:05, 2017-07-25 12:06:13,  6,  54, WPA2, CCMP,PSK, -63,       13,        0,   0.  0.  0.  0,  19, BSidesLasVegasPress, 
B0:7F:B9:8E:27:18, 2017-07-25 12:06:05, 2017-07-25 12:06:12,  2,  54, WPA2, CCMP,PSK, -52,       18,        0,   0.  0.  0.  0,   9, NETGEAR05, 
BE:9F:EF:5C:58:51, 2017-07-25 12:06:09, 2017-07-25 12:06:09,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:15:FF:9D:40:C8, 2017-07-25 12:06:10, 2017-07-25 12:06:10,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:17:0F:36:AA:60, 2017-07-25 12:06:12, 2017-07-25 12:06:12,  3,  54, WPA2, CCMP,PSK, -88,        1,        0,   0.  0.  0.  0,   1, \x00, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E0:5F:45:CB:9B:C7, 2017-07-25 12:06:09, 2017-07-25 12:06:13, -85,       10, 00:19:A9:E3:D4:90,Conventions
DA:A1:19:BA:86:33, 2017-07-25 12:06:10, 2017-07-25 12:06:10, -88,        2, (not associated) ,
AC:37:43:4B:A8:79, 2017-07-25 12:06:05, 2017-07-25 12:06:05, -83,        3, (not associated) ,
02:B3:6A:39:52:11, 2017-07-25 12:06:07, 2017-07-25 12:06:07, -83,        1, (not associated) ,
FC:E9:98:38:54:3F, 2017-07-25 12:06:05, 2017-07-25 12:06:08, -82,        6, 00:19:A9:E3:D4:90,
C0:EE:FB:5C:93:F1, 2017-07-25 12:06:06, 2017-07-25 12:06:10, -82,       26, C0:25:5C:8F:53:10,
A4:5E:60:CA:93:B9, 2017-07-25 12:06:08, 2017-07-25 12:06:08, -82,       52, (not associated) ,M305_AP,Apple3-5GHz,AirPort36052,kaliwifi,Boingo Hotspot,Marriott_GUEST,DORMYINN,7SPOT,.FREE_Wi-Fi_PASSPORT,502H
98:01:A7:9D:C0:79, 2017-07-25 12:06:09, 2017-07-25 12:06:09, -82,        1, C0:25:5C:8F:53:10,
FA:6C:CB:63:F8:EF, 2017-07-25 12:06:05, 2017-07-25 12:06:05, -81,        1, (not associated) ,
B4:9C:DF:58:61:19, 2017-07-25 12:06:05, 2017-07-25 12:06:10, -81,       64, 00:19:07:36:7E:10,
78:92:9C:DE:85:1E, 2017-07-25 12:06:06, 2017-07-25 12:06:06, -81,        1, (not associated) ,
AE:C4:E5:45:B7:1F, 2017-07-25 12:06:08, 2017-07-25 12:06:08, -81,        2, (not associated) ,
EC:1F:72:76:0D:C2, 2017-07-25 12:06:10, 2017-07-25 12:06:10, -81,        8, (not associated) ,2VeritasNetwork2,HurricaneNetwork,1VeritasNetwork1
CC:61:E5:CD:5C:82, 2017-07-25 12:06:05, 2017-07-25 12:06:05, -80,        1, (not associated) ,
EC:1F:72:BF:07:0A, 2017-07-25 12:06:05, 2017-07-25 12:06:05, -79,        1, (not associated) ,barnhart
98:01:A7:9A:4A:AD, 2017-07-25 12:06:09, 2017-07-25 12:06:09, -79,        3, (not associated) ,Wardriving
DC:0B:34:BB:38:DD, 2017-07-25 12:06:07, 2017-07-25 12:06:07, -78,       15, (not associated) ,Not Your's
94:65:2D:6D:9F:2E, 2017-07-25 12:06:07, 2017-07-25 12:06:07, -78,        3, (not associated) ,
AC:BC:32:B2:64:CF, 2017-07-25 12:06:09, 2017-07-25 12:06:10, -75,       11, 00:19:07:36:7E:10,
CC:20:E8:21:8F:DF, 2017-07-25 12:06:05, 2017-07-25 12:06:10, -73,       21, C0:7B:BC:6B:E5:10,
C6:C9:3A:9F:E5:CE, 2017-07-25 12:06:07, 2017-07-25 12:06:11, -61,        9, (not associated) ,mprize
80:E6:50:25:AA:3E, 2017-07-25 12:06:10, 2017-07-25 12:06:10, -73,        2, C0:25:5C:22:F2:B0,
7C:DD:90:D8:CC:97, 2017-07-25 12:06:06, 2017-07-25 12:06:07, -71,        3, (not associated) ,
40:4E:36:1F:C9:76, 2017-07-25 12:06:10, 2017-07-25 12:06:11, -69,        3, (not associated) ,
24:00:BA:CD:E1:FC, 2017-07-25 12:06:05, 2017-07-25 12:06:05, -68,        1, C0:25:5C:22:F2:B0,
E4:A7:A0:43:B5:02, 2017-07-25 12:06:08, 2017-07-25 12:06:09, -66,      232, 00:19:07:36:7D:F0,
30:96:FB:1D:BA:40, 2017-07-25 12:06:09, 2017-07-25 12:06:10, -64,        2, 00:1A:8C:82:8E:A9,
DA:A1:19:01:85:98, 2017-07-25 12:06:06, 2017-07-25 12:06:06, -57,        3, (not associated) ,
BC:A9:20:7F:82:76, 2017-07-25 12:06:05, 2017-07-25 12:06:05,  -1,        3, C0:25:5C:22:F2:B0,
48:A1:95:DE:4F:5B, 2017-07-25 12:06:09, 2017-07-25 12:06:09,  -1,        1, C0:25:5C:22:F2:B0,
AC:37:43:53:13:2D, 2017-07-25 12:06:09, 2017-07-25 12:06:09,  -1,        9, C0:25:5C:22:F2:B0,
66:9F:00:C6:4A:3B, 2017-07-25 12:06:12, 2017-07-25 12:06:12, -77,        4, (not associated) ,
D0:13:FD:3E:59:2E, 2017-07-25 12:06:12, 2017-07-25 12:06:12, -89,        2, (not associated) ,
AC:37:43:04:A3:71, 2017-07-25 12:06:12, 2017-07-25 12:06:13, -70,        7, (not associated) ,

