
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
40:4E:36:21:98:51, 2017-07-28 19:28:19, 2017-07-28 19:28:19,  6,  54, WPA2, CCMP,PSK, -93,        0,        0,   0.  0.  0.  0,   7, hotdogs, 
84:24:8D:32:9E:91, 2017-07-28 19:28:37, 2017-07-28 19:28:42,  1,  54, WPA2, CCMP,PSK, -87,        3,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:32:9E:92, 2017-07-28 19:28:37, 2017-07-28 19:28:37,  1,  54, WPA2, CCMP,PSK, -88,        1,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:32:CF:42, 2017-07-28 19:28:38, 2017-07-28 19:28:38,  1,  54, WPA2, CCMP,PSK, -87,        1,        0,   0.  0.  0.  0,   4, BETA, 
F6:DD:9E:54:E5:7B, 2017-07-28 19:28:19, 2017-07-28 19:28:33,  1,  54, WPA2, CCMP,PSK, -83,        3,        0,   0.  0.  0.  0,  10, GP24602229, 
84:24:8D:36:8A:E2, 2017-07-28 19:28:29, 2017-07-28 19:28:46,  6,  54, WPA2, CCMP,PSK, -82,       25,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:36:8A:E1, 2017-07-28 19:28:27, 2017-07-28 19:28:45,  6,  54, WPA2, CCMP,PSK, -82,       23,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:32:B4:22, 2017-07-28 19:28:19, 2017-07-28 19:28:45,  6,  54, WPA2, CCMP,PSK, -80,       32,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:37:EC:02, 2017-07-28 19:28:23, 2017-07-28 19:28:42,  1,  54, WPA2, CCMP,PSK, -79,        5,        0,   0.  0.  0.  0,   4, BETA, 
C8:B5:AD:CF:5A:80, 2017-07-28 19:28:29, 2017-07-28 19:28:29,  6,  54, WPA2, CCMP, MGT, -80,        1,        0,   0.  0.  0.  0,   6, DefCon, 
84:24:8D:32:B4:21, 2017-07-28 19:28:19, 2017-07-28 19:28:43,  6,  54, WPA2, CCMP,PSK, -80,       26,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:36:8D:C1, 2017-07-28 19:28:23, 2017-07-28 19:28:42,  1,  54, WPA2, CCMP,PSK, -79,        5,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:37:EC:01, 2017-07-28 19:28:23, 2017-07-28 19:28:42,  1,  54, WPA2, CCMP,PSK, -77,        7,        0,   0.  0.  0.  0,   5, ALPHA, 
06:41:69:08:49:40, 2017-07-28 19:28:21, 2017-07-28 19:28:37, 11,  54, WPA2, CCMP,PSK, -77,       13,        0,   0.  0.  0.  0,  10, GP34900994, 
84:24:8D:36:8D:C2, 2017-07-28 19:28:28, 2017-07-28 19:28:42,  1,  54, WPA2, CCMP,PSK, -77,        4,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:37:C5:C1, 2017-07-28 19:28:22, 2017-07-28 19:28:36, 11,  54, WPA2, CCMP,PSK, -76,        6,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:37:C5:C2, 2017-07-28 19:28:22, 2017-07-28 19:28:36, 11,  54, WPA2, CCMP,PSK, -76,        6,        0,   0.  0.  0.  0,   4, BETA, 
C8:B5:AD:CF:57:40, 2017-07-28 19:28:22, 2017-07-28 19:28:43, 11,  54, WPA2, CCMP, MGT, -73,        4,        2,   0.  0.  0.  0,   6, DefCon, 
84:24:8D:36:88:F1, 2017-07-28 19:28:18, 2017-07-28 19:28:42,  1,  54, WPA2, CCMP,PSK, -67,        8,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:36:88:F2, 2017-07-28 19:28:18, 2017-07-28 19:28:42,  1,  54, WPA2, CCMP,PSK, -67,        7,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:32:B3:81, 2017-07-28 19:28:19, 2017-07-28 19:28:45,  6,  54, WPA2, CCMP,PSK, -53,       57,        0,   0.  0.  0.  0,   5, ALPHA, 
C8:B5:AD:CF:55:C0, 2017-07-28 19:28:18, 2017-07-28 19:28:42,  1,  54, WPA2, CCMP, MGT, -55,        8,        0,   0.  0.  0.  0,   6, DefCon, 
84:24:8D:32:B3:82, 2017-07-28 19:28:19, 2017-07-28 19:28:45,  6,  54, WPA2, CCMP,PSK, -53,       55,        0,   0.  0.  0.  0,   4, BETA, 
02:C0:CA:91:73:95, 2017-07-28 19:28:21, 2017-07-28 19:28:41, 11,  54, WPA2, CCMP,PSK, -51,       11,        0,   0.  0.  0.  0,  10, FIOS-F2457, 
70:AF:6A:7E:6F:9A, 2017-07-28 19:28:19, 2017-07-28 19:28:46,  6,  54, WPA2, CCMP,PSK, -46,       74,       20,   0.  0.  0.  0,  14, 360WiFi-7E6F9A, 
70:AF:6A:05:0F:D7, 2017-07-28 19:28:18, 2017-07-28 19:28:42,  1,  54, WPA2, CCMP,PSK, -46,       11,        4,   0.  0.  0.  0,  14, 360WiFi-050FD7, 
70:AF:6A:05:78:A1, 2017-07-28 19:28:18, 2017-07-28 19:28:45,  1,  54, WPA2, CCMP,PSK, -52,       20,       12, 192.168.  0.  1,  14, 360WiFi-0578A1, 
50:C7:BF:26:F3:97, 2017-07-28 19:28:21, 2017-07-28 19:28:41, 11,  54, WPA2, CCMP TKIP,PSK, -44,       17,        0,   0.  0.  0.  0,  11, 4R7W0D337W0, 
70:AF:6A:7E:52:2A, 2017-07-28 19:28:18, 2017-07-28 19:28:46,  6,  54, WPA2, CCMP,PSK,   0,       72,       15,   0.  0.  0.  0,  14, 360WiFi-7E522A, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B0:72:BF:24:C5:95, 2017-07-28 19:28:26, 2017-07-28 19:28:26, -90,        2, (not associated) ,attwifi
E6:08:68:F3:D5:FA, 2017-07-28 19:28:40, 2017-07-28 19:28:40, -88,        1, (not associated) ,
AC:37:43:52:DC:22, 2017-07-28 19:28:32, 2017-07-28 19:28:32, -87,        2, (not associated) ,
D0:13:FD:39:3F:A6, 2017-07-28 19:28:28, 2017-07-28 19:28:28, -85,        4, (not associated) ,
3E:CE:B3:A2:C3:AC, 2017-07-28 19:28:23, 2017-07-28 19:28:23, -84,        1, (not associated) ,
CA:30:22:69:28:F8, 2017-07-28 19:28:39, 2017-07-28 19:28:39, -83,        1, (not associated) ,
AE:0F:98:38:1D:E2, 2017-07-28 19:28:23, 2017-07-28 19:28:24, -81,        2, (not associated) ,
C0:EE:FB:E5:40:E2, 2017-07-28 19:28:29, 2017-07-28 19:28:29, -79,        3, (not associated) ,bnet
B8:8D:12:3C:6F:E6, 2017-07-28 19:28:23, 2017-07-28 19:28:40, -76,       15, C8:B5:AD:CF:55:C1,DefCon-Open
F8:27:93:4D:72:1E, 2017-07-28 19:28:38, 2017-07-28 19:28:38, -75,        1, (not associated) ,CAESARS
8A:FC:BA:19:49:C3, 2017-07-28 19:28:39, 2017-07-28 19:28:40, -75,        2, (not associated) ,
E8:50:8B:3B:08:25, 2017-07-28 19:28:18, 2017-07-28 19:28:40, -74,       13, (not associated) ,attwifi
8C:70:5A:87:00:A4, 2017-07-28 19:28:23, 2017-07-28 19:28:23, -74,        1, (not associated) ,
AC:37:43:A2:59:97, 2017-07-28 19:28:34, 2017-07-28 19:28:45, -64,       14, (not associated) ,
DA:A1:19:74:6D:A5, 2017-07-28 19:28:27, 2017-07-28 19:28:27, -72,        2, (not associated) ,
10:A5:D0:EB:EC:D5, 2017-07-28 19:28:37, 2017-07-28 19:28:37, -72,        1, (not associated) ,
FA:A6:32:35:46:CB, 2017-07-28 19:28:40, 2017-07-28 19:28:40, -71,        2, (not associated) ,
00:40:8C:82:E3:C4, 2017-07-28 19:28:41, 2017-07-28 19:28:41, -71,        2, (not associated) ,
64:BC:0C:46:FD:59, 2017-07-28 19:28:35, 2017-07-28 19:28:35, -70,        2, (not associated) ,
84:24:8D:32:B3:80, 2017-07-28 19:28:40, 2017-07-28 19:28:40, -70,        1, (not associated) ,
9E:5A:EB:6F:43:20, 2017-07-28 19:28:18, 2017-07-28 19:28:22, -69,        2, (not associated) ,
90:C7:D8:C9:7F:7B, 2017-07-28 19:28:26, 2017-07-28 19:28:31, -65,       15, (not associated) ,
DA:A1:19:92:8E:03, 2017-07-28 19:28:40, 2017-07-28 19:28:40, -64,        2, (not associated) ,
CC:79:4A:F6:12:6F, 2017-07-28 19:28:19, 2017-07-28 19:28:39, -63,        2, C8:B5:AD:CF:55:C1,
92:68:C3:62:DE:F0, 2017-07-28 19:28:22, 2017-07-28 19:28:22, -63,        2, (not associated) ,
40:E2:30:ED:CC:37, 2017-07-28 19:28:24, 2017-07-28 19:28:43, -75,        5, C8:B5:AD:CF:57:40,
DC:EE:06:FE:8E:92, 2017-07-28 19:28:39, 2017-07-28 19:28:39, -60,        2, (not associated) ,
C4:6E:1F:1D:0E:86, 2017-07-28 19:28:18, 2017-07-28 19:28:42, -58,       90, C8:B5:AD:CF:55:C1,
60:57:18:68:77:ED, 2017-07-28 19:28:18, 2017-07-28 19:28:38, -56,        4, 70:AF:6A:05:0F:D7,
18:A6:F7:11:4B:B6, 2017-07-28 19:28:37, 2017-07-28 19:28:37, -51,        1, (not associated) ,
58:94:6B:40:58:D8, 2017-07-28 19:28:34, 2017-07-28 19:28:34, -48,        3, (not associated) ,DefCon-Open
3A:2D:93:ED:A4:D4, 2017-07-28 19:28:42, 2017-07-28 19:28:42, -57,        1, (not associated) ,EISLAB
EA:CF:22:90:E7:1B, 2017-07-28 19:28:43, 2017-07-28 19:28:43, -84,        2, (not associated) ,

