
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:24:8D:32:B4:22, 2017-07-28 20:01:40, 2017-07-28 20:02:56,  6,  54, WPA2, CCMP,PSK, -79,        9,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:37:EC:02, 2017-07-28 20:01:55, 2017-07-28 20:01:55,  1,  54, WPA2, CCMP,PSK, -78,        1,        0,   0.  0.  0.  0,   4, BETA, 
C8:B5:AD:CF:59:A0, 2017-07-28 20:01:16, 2017-07-28 20:01:16, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
80:58:F8:1D:F4:B8, 2017-07-28 20:01:17, 2017-07-28 20:01:17,  1,  -1, , ,   , -64,        0,        0,   0.  0.  0.  0,   0, , 
84:24:8D:37:C0:B7, 2017-07-28 20:01:50, 2017-07-28 20:01:50,  1,  54, WPA2, CCMP,PSK, -82,        1,        0,   0.  0.  0.  0,  15, SPECIAL_EVENT_1, 
84:24:8D:36:88:F2, 2017-07-28 20:01:36, 2017-07-28 20:02:14,  1,  54, WPA2, CCMP,PSK, -65,        4,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:36:88:F1, 2017-07-28 20:01:55, 2017-07-28 20:02:14,  1,  54, WPA2, CCMP,PSK, -65,        5,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:32:CC:22, 2017-07-28 20:01:21, 2017-07-28 20:02:56, 11,  54, WPA2, CCMP,PSK, -87,        9,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:32:CC:21, 2017-07-28 20:01:49, 2017-07-28 20:02:56, 11,  54, WPA2, CCMP,PSK, -88,        8,        0,   0.  0.  0.  0,   5, ALPHA, 
2C:B0:5D:83:07:E2, 2017-07-28 20:02:17, 2017-07-28 20:02:55,  4,  54, WPA2, CCMP,PSK, -90,        2,        0,   0.  0.  0.  0,  11, B33B3331GH7, 
84:24:8D:36:8A:E1, 2017-07-28 20:01:50, 2017-07-28 20:02:56,  6,  54, WPA2, CCMP,PSK, -84,        5,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:32:B4:21, 2017-07-28 20:01:40, 2017-07-28 20:02:37,  6,  54, WPA2, CCMP,PSK, -82,        5,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:36:8A:E2, 2017-07-28 20:01:16, 2017-07-28 20:02:56,  6,  54, WPA2, CCMP,PSK, -81,        7,        0,   0.  0.  0.  0,   4, BETA, 
06:41:69:08:49:40, 2017-07-28 20:01:16, 2017-07-28 20:02:56, 11,  54, WPA2, CCMP,PSK, -76,      104,        1,   0.  0.  0.  0,  10, GP34900994, 
84:24:8D:37:C5:C2, 2017-07-28 20:01:16, 2017-07-28 20:02:56, 11,  54, WPA2, CCMP,PSK, -76,       48,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:37:C5:C1, 2017-07-28 20:01:16, 2017-07-28 20:02:56, 11,  54, WPA2, CCMP,PSK, -76,       49,        0,   0.  0.  0.  0,   5, ALPHA, 
F6:DD:9E:54:E5:7B, 2017-07-28 20:01:36, 2017-07-28 20:02:57,  1,  54, WPA2, CCMP,PSK, -75,       15,        0,   0.  0.  0.  0,  10, GP24602229, 
C8:B5:AD:CF:57:40, 2017-07-28 20:01:21, 2017-07-28 20:02:56, 11,  54, WPA2, CCMP, MGT, -72,       37,        3,   0.  0.  0.  0,   6, DefCon, 
84:24:8D:37:EC:01, 2017-07-28 20:02:00, 2017-07-28 20:02:38,  1,  54, WPA2, CCMP,PSK, -70,        2,        0,   0.  0.  0.  0,   5, ALPHA, 
40:4E:36:1D:0F:C6, 2017-07-28 20:01:13, 2017-07-28 20:02:57,  6,  54, WPA2, CCMP,PSK, -66,       93,        0,   0.  0.  0.  0,  12, notyonetwork, 
84:24:8D:32:B3:82, 2017-07-28 20:01:13, 2017-07-28 20:02:56,  6,  54, WPA2, CCMP,PSK, -60,       49,        0,   0.  0.  0.  0,   4, BETA, 
70:AF:6A:7E:52:2A, 2017-07-28 20:01:13, 2017-07-28 20:02:57,  6,  54, WPA2, CCMP,PSK, -56,      138,       37,   0.  0.  0.  0,  14, 360WiFi-7E522A, 
C8:B5:AD:CF:55:C0, 2017-07-28 20:01:12, 2017-07-28 20:02:57,  1,  54, WPA2, CCMP, MGT, -54,       51,       23,   0.  0.  0.  0,   6, DefCon, 
84:24:8D:32:B3:81, 2017-07-28 20:01:16, 2017-07-28 20:02:56,  6,  54, WPA2, CCMP,PSK, -55,       52,        0,   0.  0.  0.  0,   5, ALPHA, 
70:AF:6A:7E:6F:9A, 2017-07-28 20:01:13, 2017-07-28 20:02:57,  6,  54, WPA2, CCMP,PSK, -53,      167,       19,   0.  0.  0.  0,  14, 360WiFi-7E6F9A, 
70:AF:6A:05:78:A1, 2017-07-28 20:01:12, 2017-07-28 20:02:58,  1,  54, WPA2, CCMP,PSK, -51,      108,       40, 192.168.  0.  1,  14, 360WiFi-0578A1, 
70:AF:6A:05:0F:D7, 2017-07-28 20:01:12, 2017-07-28 20:02:58,  1,  54, WPA2, CCMP,PSK, -47,       57,        8,   0.  0.  0.  0,  14, 360WiFi-050FD7, 
50:C7:BF:26:F3:97, 2017-07-28 20:01:13, 2017-07-28 20:02:57, 11,  54, WPA2, CCMP TKIP,PSK, -50,      144,        0,   0.  0.  0.  0,  11, 4R7W0D337W0, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:7B:AC:60, 2017-07-28 20:01:52, 2017-07-28 20:01:52, -91,        1, (not associated) ,
6A:5A:24:B7:D0:4A, 2017-07-28 20:01:21, 2017-07-28 20:01:39, -78,        4, (not associated) ,
AC:37:43:A2:59:97, 2017-07-28 20:01:24, 2017-07-28 20:01:25, -62,        2, (not associated) ,
F0:7B:CB:9F:B6:9F, 2017-07-28 20:01:29, 2017-07-28 20:01:29, -66,        1, C8:B5:AD:CF:57:41,
50:2E:5C:E6:7E:52, 2017-07-28 20:01:17, 2017-07-28 20:01:17, -59,        2, (not associated) ,
DA:A1:19:30:8D:71, 2017-07-28 20:01:13, 2017-07-28 20:01:13, -68,        1, (not associated) ,
80:58:F8:1D:F4:B8, 2017-07-28 20:01:17, 2017-07-28 20:01:17, -70,        6, C8:B5:AD:CF:55:C0,
80:58:F8:CC:E6:9A, 2017-07-28 20:01:16, 2017-07-28 20:01:16, -71,        2, (not associated) ,DefCon
C8:69:CD:B3:8F:48, 2017-07-28 20:01:14, 2017-07-28 20:01:15, -71,        7, (not associated) ,
CC:61:E5:DA:7E:A4, 2017-07-28 20:01:30, 2017-07-28 20:01:30, -90,        1, (not associated) ,
BE:62:B9:9A:29:05, 2017-07-28 20:01:30, 2017-07-28 20:01:31, -72,        2, (not associated) ,
94:65:2D:6D:9F:2E, 2017-07-28 20:01:42, 2017-07-28 20:01:42, -88,        1, (not associated) ,
DA:A1:19:CB:25:76, 2017-07-28 20:01:44, 2017-07-28 20:01:44, -69,        1, (not associated) ,
70:56:81:9A:0A:85, 2017-07-28 20:01:43, 2017-07-28 20:01:43, -57,       26, (not associated) ,PacketSled-5G,My Network
EE:68:A2:CC:7C:F7, 2017-07-28 20:02:00, 2017-07-28 20:02:00, -90,        4, (not associated) ,
FA:95:0A:83:10:8B, 2017-07-28 20:01:53, 2017-07-28 20:02:10, -84,        2, (not associated) ,
78:CA:39:D7:E8:FE, 2017-07-28 20:02:41, 2017-07-28 20:02:41, -84,        1, (not associated) ,moorehouse
1C:67:58:EE:68:A7, 2017-07-28 20:02:06, 2017-07-28 20:02:26, -80,        8, (not associated) ,
EE:D2:45:20:59:0A, 2017-07-28 20:02:05, 2017-07-28 20:02:05, -79,        1, (not associated) ,
D6:3B:45:65:BF:0E, 2017-07-28 20:02:08, 2017-07-28 20:02:08, -79,        2, (not associated) ,
DA:A1:19:C2:85:02, 2017-07-28 20:02:13, 2017-07-28 20:02:13, -79,        2, (not associated) ,
D0:59:E4:CA:4A:95, 2017-07-28 20:02:13, 2017-07-28 20:02:14, -79,        9, (not associated) ,nlc-public,Track-Guest
3A:2D:93:ED:A4:D4, 2017-07-28 20:02:41, 2017-07-28 20:02:42, -79,        2, (not associated) ,
C2:22:5A:E7:EF:35, 2017-07-28 20:01:57, 2017-07-28 20:02:54, -71,        3, (not associated) ,
C6:A6:B7:99:EA:97, 2017-07-28 20:01:48, 2017-07-28 20:02:34, -75,        4, (not associated) ,
00:40:8C:82:E3:C4, 2017-07-28 20:01:15, 2017-07-28 20:02:35, -75,        9, (not associated) ,360WiFi-7E522A
40:E2:30:5D:DA:E9, 2017-07-28 20:02:00, 2017-07-28 20:02:00, -75,        5, (not associated) ,DefCon-Open
8C:70:5A:87:00:A4, 2017-07-28 20:02:22, 2017-07-28 20:02:23, -74,        2, (not associated) ,
84:24:8D:32:B3:80, 2017-07-28 20:02:11, 2017-07-28 20:02:11, -73,        1, (not associated) ,
86:44:A7:4B:70:78, 2017-07-28 20:02:03, 2017-07-28 20:02:18, -72,       14, (not associated) ,TMobileWingman
40:E2:30:ED:CC:37, 2017-07-28 20:01:57, 2017-07-28 20:02:38, -71,        3, C8:B5:AD:CF:55:C0,
84:10:0D:A7:48:72, 2017-07-28 20:02:40, 2017-07-28 20:02:40, -71,        1, (not associated) ,
90:C7:D8:C9:7F:7B, 2017-07-28 20:01:12, 2017-07-28 20:02:58, -48,      252, (not associated) ,
E8:50:8B:CD:18:2E, 2017-07-28 20:01:45, 2017-07-28 20:02:28, -70,        2, (not associated) ,CAESARS
A8:6B:AD:1E:0A:C4, 2017-07-28 20:01:15, 2017-07-28 20:02:14, -70,       64, C8:B5:AD:CF:55:C0,DefCon
9C:2A:83:5D:DC:5F, 2017-07-28 20:01:17, 2017-07-28 20:02:41, -69,        8, (not associated) ,
AC:37:43:A6:B4:36, 2017-07-28 20:01:44, 2017-07-28 20:02:34, -68,       10, (not associated) ,
5A:6A:58:7B:6F:21, 2017-07-28 20:02:19, 2017-07-28 20:02:19, -68,        1, (not associated) ,
7E:2C:DE:93:C3:2C, 2017-07-28 20:01:56, 2017-07-28 20:02:41, -68,        2, (not associated) ,
7E:3A:30:CE:A5:DD, 2017-07-28 20:02:10, 2017-07-28 20:02:55, -65,       16, (not associated) ,PS
B6:F4:E1:4F:7E:E5, 2017-07-28 20:02:52, 2017-07-28 20:02:52, -66,        2, (not associated) ,
DE:3C:71:3B:86:7D, 2017-07-28 20:02:37, 2017-07-28 20:02:53, -65,        7, (not associated) ,
CC:79:4A:F6:12:6F, 2017-07-28 20:01:40, 2017-07-28 20:02:44, -63,       20, C8:B5:AD:CF:55:C1,
66:7E:28:46:45:D0, 2017-07-28 20:02:16, 2017-07-28 20:02:16, -63,        4, (not associated) ,
4C:4E:03:82:E4:99, 2017-07-28 20:01:22, 2017-07-28 20:01:55, -62,        8, C8:B5:AD:CF:55:C0,DefCon
FC:C2:DE:EB:F7:27, 2017-07-28 20:02:11, 2017-07-28 20:02:11, -62,       10, (not associated) ,
40:4E:36:21:75:57, 2017-07-28 20:02:31, 2017-07-28 20:02:31, -62,        2, (not associated) ,
58:94:6B:40:58:D8, 2017-07-28 20:01:43, 2017-07-28 20:02:51, -61,       11, (not associated) ,DefCon-Open
98:01:A7:AF:90:2F, 2017-07-28 20:01:16, 2017-07-28 20:02:37, -61,        8, 40:4E:36:1D:0F:C6,
18:A6:F7:11:4B:B6, 2017-07-28 20:02:13, 2017-07-28 20:02:13, -59,        1, (not associated) ,
24:77:03:3A:81:10, 2017-07-28 20:01:54, 2017-07-28 20:01:54, -55,        3, (not associated) ,DefCon-Open
E4:A4:71:8D:87:27, 2017-07-28 20:01:15, 2017-07-28 20:02:58, -56,       41, 70:AF:6A:05:78:A1,360WiFi-0578A1
B8:8D:12:3C:6F:E6, 2017-07-28 20:01:12, 2017-07-28 20:02:58, -53,       58, C8:B5:AD:CF:55:C1,
08:60:6E:AC:7C:A5, 2017-07-28 20:01:13, 2017-07-28 20:02:52, -49,      135, 5C:D9:98:5D:0B:AE,Defcon WiFi,2017SH1,TARDIS24,TARDIS01,NXS5X20160713,Chime-f5ad93,lacguest
08:60:6E:AA:44:5D, 2017-07-28 20:01:58, 2017-07-28 20:01:58, -44,        9, (not associated) ,PacketSled-5G,xfinitywifi
84:3A:4B:89:CF:29, 2017-07-28 20:01:12, 2017-07-28 20:02:58, -46,     3664, 5C:D9:98:5D:0B:AE,
00:C0:CA:95:5C:DF, 2017-07-28 20:01:17, 2017-07-28 20:02:52, -37,        6, 70:AF:6A:7E:52:2A,
24:77:03:EB:D0:C8, 2017-07-28 20:01:12, 2017-07-28 20:02:58, -42,      757, 5C:D9:98:5D:0B:AE,
2A:E2:BA:CA:FC:01, 2017-07-28 20:02:54, 2017-07-28 20:02:54, -34,        1, (not associated) ,

