
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
FC:0A:81:DA:FC:11, 2017-07-28 23:13:29, 2017-07-28 23:14:53,  1,  54, WPA2, CCMP,PSK, -79,       14,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:33:0B:31, 2017-07-28 23:13:31, 2017-07-28 23:14:54,  6,  54, WPA2, CCMP,PSK, -80,       11,        0,   0.  0.  0.  0,   5, ALPHA, 
FC:0A:81:DA:FF:01, 2017-07-28 23:13:54, 2017-07-28 23:14:27,  1,  54, WPA2, CCMP,PSK, -81,        6,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:32:1A:D2, 2017-07-28 23:13:40, 2017-07-28 23:14:27,  1,  54, WPA2, CCMP,PSK, -82,        4,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:36:8D:F2, 2017-07-28 23:13:29, 2017-07-28 23:14:27,  6,  54, WPA2, CCMP,PSK, -83,        9,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:32:9E:A3, 2017-07-28 23:13:41, 2017-07-28 23:14:27,  6,  54, WPA2, CCMP, MGT, -83,       13,        0,   0.  0.  0.  0,   5, GAMMA, 
FC:0A:81:DA:FB:13, 2017-07-28 23:14:31, 2017-07-28 23:14:31,  1,  54, WPA2, CCMP, MGT, -85,        1,        0,   0.  0.  0.  0,   1, \x00, 
FC:0A:81:0E:60:D0, 2017-07-28 23:14:19, 2017-07-28 23:14:19, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:0A:81:DB:05:11, 2017-07-28 23:13:40, 2017-07-28 23:14:16,  1,  54, WPA2, CCMP,PSK, -81,        8,        0,   0.  0.  0.  0,   5, ALPHA, 
FC:0A:81:DB:0A:F1, 2017-07-28 23:14:19, 2017-07-28 23:14:19,  6,  54, WPA2, CCMP,PSK, -83,        1,        0,   0.  0.  0.  0,   1, \x00, 
FC:0A:81:DB:0A:F2, 2017-07-28 23:14:00, 2017-07-28 23:14:19,  6,  54, WPA2, CCMP,PSK, -83,        4,        0,   0.  0.  0.  0,   1, \x00, 
FC:0A:81:DB:07:C1, 2017-07-28 23:14:05, 2017-07-28 23:14:05, 11,  54, WPA2, CCMP,PSK, -83,        1,        0,   0.  0.  0.  0,   5, ALPHA, 
FC:0A:81:DB:07:C2, 2017-07-28 23:14:04, 2017-07-28 23:14:04, 11,  54, WPA2, CCMP,PSK, -85,        1,        0,   0.  0.  0.  0,   4, BETA, 
FC:0A:81:D9:7A:E1, 2017-07-28 23:13:50, 2017-07-28 23:14:05, 11,  54, WPA2, CCMP,PSK, -86,        2,        0,   0.  0.  0.  0,   5, ALPHA, 
FC:0A:81:DA:FF:02, 2017-07-28 23:13:51, 2017-07-28 23:13:51,  1,  54, WPA2, CCMP,PSK, -81,        1,        0,   0.  0.  0.  0,   4, BETA, 
FC:0A:81:DA:FB:19, 2017-07-28 23:13:33, 2017-07-28 23:14:53,  1,  54, WPA2, CCMP,PSK, -82,        2,        0,   0.  0.  0.  0,   6, CECorp, 
