
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
70:AF:6A:7E:52:2A, 2017-07-28 19:24:30, 2017-07-28 19:27:36,  6,  54, WPA2, CCMP,PSK,   0,     1649,      402,   0.  0.  0.  0,  14, 360WiFi-7E522A, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:01:6C:72:A8:1A, 2017-07-28 19:25:30, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:CC:9A:37:BA:D0, 2017-07-28 19:25:30, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:DB:28:10:43:C5, 2017-07-28 19:25:30, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:E4:C5:24:5E:01, 2017-07-28 19:25:30, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:31:1C:34:70:7C, 2017-07-28 19:25:30, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:40:30:09:F3:FF, 2017-07-28 19:25:30, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:B2:A1:A7:AE:03, 2017-07-28 19:25:30, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:57:72:EE:36:CA, 2017-07-28 19:25:30, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:CA:0F:67:9C:BB, 2017-07-28 19:25:30, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:55:A8:7A:3C:B7, 2017-07-28 19:25:30, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:29:35:3E:5F:B0, 2017-07-28 19:25:30, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:82:06:B2:CF:28, 2017-07-28 19:25:30, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:6B:DD:FB:61:99, 2017-07-28 19:25:29, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:D5:32:DF:58:C4, 2017-07-28 19:25:29, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:D3:B0:D2:AC:EF, 2017-07-28 19:25:29, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:48:CA:E7:0F:50, 2017-07-28 19:25:29, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:66:16:36:7B:16, 2017-07-28 19:25:29, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:A4:19:4C:22:77, 2017-07-28 19:25:29, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:85:37:F6:BC:87, 2017-07-28 19:25:29, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:86:F0:82:92:8B, 2017-07-28 19:25:29, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:A0:82:D8:3F:03, 2017-07-28 19:25:29, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:4F:D0:C7:86:EC, 2017-07-28 19:25:29, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:F3:BF:15:00:12, 2017-07-28 19:25:29, 2017-07-28 19:25:30,   0,        4, 70:AF:6A:7E:52:2A,
00:75:D0:01:54:75, 2017-07-28 19:25:29, 2017-07-28 19:25:29,   0,        4, 70:AF:6A:7E:52:2A,
00:61:FB:0D:53:3A, 2017-07-28 19:25:29, 2017-07-28 19:25:29,   0,        4, 70:AF:6A:7E:52:2A,
00:D0:B4:37:1C:D9, 2017-07-28 19:25:29, 2017-07-28 19:25:29,   0,        4, 70:AF:6A:7E:52:2A,
00:FC:EC:9F:80:AE, 2017-07-28 19:25:29, 2017-07-28 19:25:29,   0,        4, 70:AF:6A:7E:52:2A,
00:B0:7F:0B:9B:02, 2017-07-28 19:25:29, 2017-07-28 19:25:29,   0,        4, 70:AF:6A:7E:52:2A,
00:A5:6B:37:50:AE, 2017-07-28 19:25:29, 2017-07-28 19:25:29,   0,        4, 70:AF:6A:7E:52:2A,
00:5C:C5:7E:5E:19, 2017-07-28 19:25:29, 2017-07-28 19:25:29,   0,        4, 70:AF:6A:7E:52:2A,

