
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:F3:9C:E4:97:40, 2017-05-28 17:12:48, 2017-05-28 17:16:08,  6,  -1, OPN, ,   ,  -1,        0,        7,   0.  0.  0.  0,   0, , 
58:F3:9C:E8:D6:50, 2017-05-28 17:12:35, 2017-05-28 17:15:55,  6,  -1, OPN, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
58:F3:9C:F1:07:30, 2017-05-28 17:15:46, 2017-05-28 17:15:46,  6,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
58:F3:9C:F1:0A:60, 2017-05-28 17:15:23, 2017-05-28 17:15:23,  6,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
58:F3:9C:E4:9C:A0, 2017-05-28 17:14:19, 2017-05-28 17:14:19, 11,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
58:F3:9C:E8:D6:C0, 2017-05-28 17:12:43, 2017-05-28 17:12:43, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
58:F3:9C:F1:86:10, 2017-05-28 17:11:21, 2017-05-28 17:11:21, 11,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
58:F3:9C:E4:9A:F0, 2017-05-28 17:11:49, 2017-05-28 17:11:49,  6,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
58:F3:9C:ED:1A:20, 2017-05-28 17:11:45, 2017-05-28 17:12:25,  1,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
58:F3:9C:E4:96:A0, 2017-05-28 17:14:24, 2017-05-28 17:14:24,  6,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
58:F3:9C:ED:1B:30, 2017-05-28 17:11:12, 2017-05-28 17:14:52,  5,  -1, OPN, ,   ,  -1,        0,        4,   0.  0.  0.  0,   0, , 
58:F3:9C:F1:0C:00, 2017-05-28 17:12:11, 2017-05-28 17:14:51, 11,  -1, OPN, ,   ,  -1,        0,        4,   0.  0.  0.  0,   0, , 
58:F3:9C:ED:00:00, 2017-05-28 17:11:40, 2017-05-28 17:15:00,  6,  -1, OPN, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
1C:6A:7A:14:D2:70, 2017-05-28 17:11:12, 2017-05-28 17:16:40, 11,  54, WPA2, CCMP, MGT, -75,       82,        6,   0.  0.  0.  0,  11, UNLV-Secure, 
1C:6A:7A:14:D2:72, 2017-05-28 17:11:12, 2017-05-28 17:16:45, 11,  54, WPA2, CCMP, MGT, -74,       69,        0,   0.  0.  0.  0,   7, eduroam, 
1C:6A:7A:14:D2:71, 2017-05-28 17:11:12, 2017-05-28 17:16:27, 11,  54, OPN, ,   , -73,       79,        0,   0.  0.  0.  0,  10, UNLV-Guest, 
58:F3:9C:F1:8E:20, 2017-05-28 17:11:12, 2017-05-28 17:16:45, 11,  54, WPA2, CCMP, MGT, -72,      132,        5,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:8E:22, 2017-05-28 17:11:12, 2017-05-28 17:16:45, 11,  54, WPA2, CCMP, MGT, -73,      123,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:8E:21, 2017-05-28 17:11:12, 2017-05-28 17:16:45, 11,  54, OPN, ,   , -72,      118,        0,   0.  0.  0.  0,  10, UNLV-Guest, 
58:F3:9C:F3:60:12, 2017-05-28 17:11:12, 2017-05-28 17:16:45, 11,  54, WPA2, CCMP, MGT, -63,      157,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F3:60:11, 2017-05-28 17:11:12, 2017-05-28 17:16:45, 11,  54, OPN, ,   , -64,      152,        0,   0.  0.  0.  0,  10, UNLV-Guest, 
58:F3:9C:F3:60:10, 2017-05-28 17:11:12, 2017-05-28 17:16:45, 11,  54, WPA2, CCMP, MGT, -63,      163,        2,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:2D:41, 2017-05-28 17:11:08, 2017-05-28 17:16:46,  1,  54, OPN, ,   , -61,      157,     2114,  10. 88. 63.211,  10, UNLV-Guest, 
58:F3:9C:F1:2D:40, 2017-05-28 17:11:08, 2017-05-28 17:16:46,  1,  54, WPA2, CCMP, MGT, -61,      168,      188,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:2D:42, 2017-05-28 17:11:08, 2017-05-28 17:16:46,  1,  54, WPA2, CCMP, MGT, -61,      165,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:E4:9B:51, 2017-05-28 17:11:12, 2017-05-28 17:16:46,  6,  54, OPN, ,   , -56,      317,    15029,  10. 88.193. 29,  10, UNLV-Guest, 
58:F3:9C:E4:9B:50, 2017-05-28 17:11:12, 2017-05-28 17:16:46,  6,  54, WPA2, CCMP, MGT, -51,      327,     1083,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:E4:9B:52, 2017-05-28 17:11:12, 2017-05-28 17:16:46,  6,  54, WPA2, CCMP, MGT, -55,      320,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:E8:D7:B0, 2017-05-28 17:11:48, 2017-05-28 17:16:28, 11,  -1, OPN, ,   ,  -1,        0,        5,   0.  0.  0.  0,   0, , 
58:F3:9C:86:AA:00, 2017-05-28 17:13:07, 2017-05-28 17:16:27,  1,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
58:F3:9C:F1:85:00, 2017-05-28 17:16:37, 2017-05-28 17:16:37,  1,  -1, OPN, ,   ,  -1,        0,        2,   0.  0.  0.  0,   0, , 
58:F3:9C:F1:09:70, 2017-05-28 17:16:47, 2017-05-28 17:16:47,  2,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
8C:84:01:CE:37:87, 2017-05-28 17:13:39, 2017-05-28 17:15:40, -91,        7, (not associated) ,
C2:FC:79:D0:1C:46, 2017-05-28 17:15:15, 2017-05-28 17:15:28, -73,       16, (not associated) ,
F4:5C:89:98:7E:DD, 2017-05-28 17:15:05, 2017-05-28 17:15:28, -86,        2, (not associated) ,UNLV-Guest
CE:09:91:77:EE:3E, 2017-05-28 17:15:02, 2017-05-28 17:15:14, -85,        2, (not associated) ,
AC:5F:3E:45:DC:50, 2017-05-28 17:15:15, 2017-05-28 17:15:15, -92,        1, (not associated) ,
6A:C9:3A:42:9D:3C, 2017-05-28 17:14:50, 2017-05-28 17:14:50, -84,        3, (not associated) ,
60:F1:89:E4:5F:61, 2017-05-28 17:13:11, 2017-05-28 17:14:39, -89,        5, (not associated) ,attwifibn
82:BE:2B:9D:5A:61, 2017-05-28 17:14:28, 2017-05-28 17:14:28, -91,        1, (not associated) ,
30:10:B3:27:E0:CC, 2017-05-28 17:11:40, 2017-05-28 17:14:31, -91,        6, (not associated) ,
FE:6D:97:19:38:E9, 2017-05-28 17:14:15, 2017-05-28 17:14:15, -84,        1, (not associated) ,
12:9D:2A:3C:F2:B1, 2017-05-28 17:14:03, 2017-05-28 17:14:03, -89,        2, (not associated) ,
E0:94:67:CC:5E:43, 2017-05-28 17:13:52, 2017-05-28 17:13:52, -88,        1, (not associated) ,
18:65:90:9F:C7:4D, 2017-05-28 17:12:41, 2017-05-28 17:12:41, -73,        2, (not associated) ,UNLV-Secure
98:5F:D3:D7:07:1F, 2017-05-28 17:11:26, 2017-05-28 17:12:41, -74,       27, 58:F3:9C:E4:9B:51,
5A:95:09:7C:73:AB, 2017-05-28 17:11:19, 2017-05-28 17:12:42, -84,        3, (not associated) ,
42:3C:E4:FC:BA:B0, 2017-05-28 17:12:15, 2017-05-28 17:12:15, -84,        1, (not associated) ,
F6:6F:D0:C0:C6:39, 2017-05-28 17:11:41, 2017-05-28 17:11:41, -87,        1, (not associated) ,
B2:74:FD:D4:60:51, 2017-05-28 17:11:20, 2017-05-28 17:11:31, -80,        5, (not associated) ,
18:4F:32:F3:26:61, 2017-05-28 17:11:30, 2017-05-28 17:11:31, -83,        2, (not associated) ,
46:AD:63:A9:11:AD, 2017-05-28 17:11:25, 2017-05-28 17:11:25, -84,        1, (not associated) ,
10:40:F3:A5:A1:3C, 2017-05-28 17:12:35, 2017-05-28 17:12:35, -88,        1, (not associated) ,Amorati
98:01:A7:B7:4E:CF, 2017-05-28 17:12:32, 2017-05-28 17:12:32, -81,        1, (not associated) ,
DA:C9:E6:AF:82:0B, 2017-05-28 17:13:53, 2017-05-28 17:13:57, -81,        5, (not associated) ,
CA:2C:C6:6A:35:AB, 2017-05-28 17:14:12, 2017-05-28 17:14:12, -80,        1, (not associated) ,
34:FC:EF:BA:15:BD, 2017-05-28 17:14:47, 2017-05-28 17:14:47, -85,        2, (not associated) ,
EA:7D:9A:41:23:41, 2017-05-28 17:14:47, 2017-05-28 17:14:47, -72,        2, (not associated) ,
DA:A1:19:C4:1E:25, 2017-05-28 17:15:09, 2017-05-28 17:15:09, -89,        1, (not associated) ,
9C:2A:83:65:E6:B7, 2017-05-28 17:13:00, 2017-05-28 17:16:09, -89,       17, (not associated) ,
80:C5:E6:55:AB:28, 2017-05-28 17:13:20, 2017-05-28 17:15:55, -88,        4, (not associated) ,
DA:A1:19:AF:38:CE, 2017-05-28 17:16:09, 2017-05-28 17:16:09, -88,        1, (not associated) ,
D6:B5:0D:D5:1A:1B, 2017-05-28 17:15:42, 2017-05-28 17:16:20, -87,        4, (not associated) ,
FC:DB:B3:BE:8F:60, 2017-05-28 17:16:17, 2017-05-28 17:16:17, -80,        2, (not associated) ,
88:E3:AB:6A:D8:AC, 2017-05-28 17:11:31, 2017-05-28 17:16:37, -76,       87, 58:F3:9C:F1:2D:41,
54:27:1E:E0:42:FE, 2017-05-28 17:11:13, 2017-05-28 17:16:37, -75,     2065, 58:F3:9C:F1:2D:41,UNLV-Guest
CC:08:8D:05:A5:69, 2017-05-28 17:11:12, 2017-05-28 17:15:55, -75,      132, 58:F3:9C:E4:9B:51,
32:09:1B:9F:76:F2, 2017-05-28 17:12:14, 2017-05-28 17:15:49, -69,        4, (not associated) ,
04:52:F3:60:EB:E8, 2017-05-28 17:16:10, 2017-05-28 17:16:10, -69,        4, (not associated) ,
D2:78:E1:CA:40:6D, 2017-05-28 17:16:04, 2017-05-28 17:16:05, -67,        3, (not associated) ,
2A:AC:69:EE:FD:6F, 2017-05-28 17:16:29, 2017-05-28 17:16:41, -62,        9, (not associated) ,
FE:B1:EA:0E:E8:53, 2017-05-28 17:15:25, 2017-05-28 17:16:33, -61,       17, (not associated) ,
28:E3:47:99:32:25, 2017-05-28 17:11:08, 2017-05-28 17:16:14, -58,      186, 58:F3:9C:F1:2D:40,
60:57:18:4A:60:A0, 2017-05-28 17:11:13, 2017-05-28 17:16:45, -56,      324, 58:F3:9C:E4:9B:51,
30:10:B3:7E:DA:00, 2017-05-28 17:11:31, 2017-05-28 17:16:14, -53,      182, 58:F3:9C:E4:9B:51,UNLV-Guest
50:2E:5C:E6:7E:52, 2017-05-28 17:13:40, 2017-05-28 17:16:28, -52,       39, (not associated) ,
00:71:CC:6E:02:76, 2017-05-28 17:11:12, 2017-05-28 17:16:45, -53,     1083, 58:F3:9C:E4:9B:50,
CE:2C:41:DE:62:52, 2017-05-28 17:11:12, 2017-05-28 17:16:46, -45,    14580, 58:F3:9C:E4:9B:51,

