
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:F3:9C:F1:8E:21, 2017-05-30 19:07:29, 2017-05-30 19:07:29, 11,  54, OPN, ,   , -80,        2,        0,   0.  0.  0.  0,  10, UNLV-Guest, 
58:F3:9C:F1:8E:22, 2017-05-30 19:07:29, 2017-05-30 19:07:29, 11,  54, WPA2, CCMP, MGT, -79,        3,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F3:60:12, 2017-05-30 19:07:29, 2017-05-30 19:07:29, 11,  54, WPA2, CCMP, MGT, -75,        2,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F3:60:11, 2017-05-30 19:07:29, 2017-05-30 19:07:29, 11,  54, OPN, ,   , -74,        2,        0,   0.  0.  0.  0,  10, UNLV-Guest, 
58:F3:9C:F1:8E:20, 2017-05-30 19:07:29, 2017-05-30 19:07:29, 11,  54, WPA2, CCMP, MGT, -73,        2,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F3:60:10, 2017-05-30 19:07:29, 2017-05-30 19:07:29, 11,  54, WPA2, CCMP, MGT, -73,        2,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:E4:9B:50, 2017-05-30 19:07:29, 2017-05-30 19:07:30,  6,  54, WPA2, CCMP, MGT, -71,        5,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:E4:9B:52, 2017-05-30 19:07:29, 2017-05-30 19:07:30,  6,  54, WPA2, CCMP, MGT, -71,        5,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:E4:9B:51, 2017-05-30 19:07:29, 2017-05-30 19:07:30,  6,  54, OPN, ,   , -71,        5,        0,   0.  0.  0.  0,  10, UNLV-Guest, 
58:F3:9C:F1:2D:41, 2017-05-30 19:07:25, 2017-05-30 19:07:30,  1,  54, OPN, ,   , -60,        3,        0,   0.  0.  0.  0,  10, UNLV-Guest, 
58:F3:9C:F1:2D:40, 2017-05-30 19:07:25, 2017-05-30 19:07:30,  1,  54, WPA2, CCMP, MGT, -59,        5,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:2D:42, 2017-05-30 19:07:25, 2017-05-30 19:07:30,  1,  54, WPA2, CCMP, MGT, -59,        3,        0,   0.  0.  0.  0,   7, eduroam, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5C:AF:06:2C:50:32, 2017-05-30 19:07:28, 2017-05-30 19:07:28, -92,        1, (not associated) ,
0E:E2:6C:CE:AC:57, 2017-05-30 19:07:30, 2017-05-30 19:07:30, -88,        1, (not associated) ,
28:18:78:D9:7D:4D, 2017-05-30 19:07:28, 2017-05-30 19:07:32, -74,       11, (not associated) ,NikolaTesla
10:A5:D0:58:EC:55, 2017-05-30 19:07:31, 2017-05-30 19:07:31, -88,        1, (not associated) ,

