
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:07:00:00:88:41, 2017-07-14 17:57:31, 2017-07-14 18:07:59, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E0:B9:E5:85:1C:44, 2017-07-14 18:06:44, 2017-07-14 18:06:44,  1,  54, WPA2, CCMP,PSK, -88,        1,        0,   0.  0.  0.  0,  15, CenturyLink0836, 
B0:7F:B9:FE:20:D6, 2017-07-14 18:05:07, 2017-07-14 18:05:12, 11,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
28:C6:8E:76:F9:B2, 2017-07-14 18:04:45, 2017-07-14 18:04:45,  1,  54, WPA2, CCMP,PSK, -89,        1,        0,   0.  0.  0.  0,   9, NETGEAR81, 
14:DD:A9:9A:83:80, 2017-07-14 18:04:13, 2017-07-14 18:04:37,  8,  54, WPA2, CCMP,PSK, -90,        4,        0,   0.  0.  0.  0,   4, Home, 
10:0D:7F:DE:A4:A4, 2017-07-14 17:59:59, 2017-07-14 18:00:09,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -91,        2,        0,   0.  0.  0.  0,   6, DEA4A4, 
60:38:E0:76:8A:56, 2017-07-14 17:58:55, 2017-07-14 17:58:55, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
5C:8F:E0:59:3D:F9, 2017-07-14 18:01:16, 2017-07-14 18:01:16,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -88,        1,        0,   0.  0.  0.  0,   6, 593DF9, 
14:DD:A9:9A:83:81, 2017-07-14 18:04:13, 2017-07-14 18:04:51,  8,  54, WPA2, CCMP,PSK, -89,        2,        0,   0.  0.  0.  0,   7, ASUS_G1, 
10:DA:43:2A:07:EE, 2017-07-14 17:58:39, 2017-07-14 18:07:02,  1,  54, WPA2, CCMP,PSK, -87,        6,        2,   0.  0.  0.  0,   6, 2A07EE, 
B0:7F:B9:F3:F5:0B, 2017-07-14 17:57:36, 2017-07-14 18:07:54, 11,  54, WPA2, CCMP,PSK, -91,       71,        9,   0.  0.  0.  0,   9, NetCapRon, 
D8:50:E6:59:74:A0, 2017-07-14 17:57:32, 2017-07-14 18:07:59,  6,  54, WPA2, CCMP,PSK, -89,       83,       14,   0.  0.  0.  0,  15, The Berry House, 
C4:B3:01:DC:83:9A, 2017-07-14 17:57:32, 2017-07-14 18:07:59,  6,  54, WPA2, CCMP,PSK, -90,      245,        0,   0.  0.  0.  0,   6, feride, 
00:8E:F2:B0:DC:DD, 2017-07-14 17:57:36, 2017-07-14 18:07:58, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -90,      131,       75,   0.  0.  0.  0,   6, B0DCDD, 
C8:D7:19:EC:F7:7B, 2017-07-14 17:57:32, 2017-07-14 18:07:59,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -89,      234,       12,   0.  0.  0.  0,   5, TK421, 
82:2A:A8:81:96:70, 2017-07-14 17:57:28, 2017-07-14 18:07:45,  1,  54, WPA2, CCMP,PSK, -88,       78,        0,   0.  0.  0.  0,  23, I Believe Wi-fi Can Fly, 
F4:0E:83:D9:A0:2E, 2017-07-14 17:57:31, 2017-07-14 18:07:59, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -88,      103,        0,   0.  0.  0.  0,   6, D9A02E, 
10:0D:7F:DB:83:C0, 2017-07-14 17:57:28, 2017-07-14 18:07:55,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -88,      124,      135,   0.  0.  0.  0,   6, DB83C0, 
40:8B:07:42:CA:A8, 2017-07-14 17:57:28, 2017-07-14 18:08:00,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -86,      223,      101,   0.  0.  0.  0,  15, CenturyLink2853, 
30:B5:C2:5C:49:37, 2017-07-14 17:58:00, 2017-07-14 18:07:58, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -88,       99,        1,   0.  0.  0.  0,   9, NetCapRon, 
DC:EF:09:B4:58:37, 2017-07-14 17:57:30, 2017-07-14 18:08:02, 10,  54, WPA2, CCMP,PSK, -86,       54,       31,   0.  0.  0.  0,   9, NETGEAR38, 
80:2A:A8:81:96:70, 2017-07-14 17:57:28, 2017-07-14 18:07:50,  1,  54, WPA2, CCMP,PSK, -86,       84,        2,   0.  0.  0.  0,  15, Abraham Linksys, 
84:1B:5E:DA:14:8C, 2017-07-14 17:57:36, 2017-07-14 18:07:58, 11,  54, WPA2, CCMP,PSK, -85,      341,      343,   0.  0.  0.  0,   9, Pinky Sou, 
14:58:D0:FF:FD:63, 2017-07-14 17:57:32, 2017-07-14 18:07:59,  6,  54, OPN, ,   , -87,      200,        0,   0.  0.  0.  0,  26, HP-Print-63-Officejet 4630, 
70:8B:CD:CA:3E:29, 2017-07-14 17:57:31, 2017-07-14 18:08:01,  8,  54, WPA2, CCMP,PSK, -85,      276,       15,   0.  0.  0.  0,  15, URBANMIX_Guest1, 
70:8B:CD:CA:3E:28, 2017-07-14 17:57:35, 2017-07-14 18:08:01,  8,  54, WPA2, CCMP,PSK, -84,      308,       13,   0.  0.  0.  0,   8, URBANMIX, 
08:05:81:45:6B:CB, 2017-07-14 17:57:51, 2017-07-14 18:07:49,  6,  54, WPA2, CCMP,PSK, -83,        8,        0,   0.  0.  0.  0,  22, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
38:70:0C:10:7F:3D, 2017-07-14 17:57:31, 2017-07-14 18:07:58, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -81,      401,       26,   0.  0.  0.  0,   6, 107F3D, 
B2:B2:DC:83:44:A4, 2017-07-14 17:57:31, 2017-07-14 18:07:59, 11,  54, WPA2, CCMP TKIP,PSK, -83,      327,      138,   0.  0.  0.  0,  15, CenturyLink8925, 
10:0D:7F:DE:B8:BB, 2017-07-14 17:57:31, 2017-07-14 18:07:59,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -81,      549,      281,   0.  0.  0.  0,   6, DEB8BB, 
A0:63:91:EE:02:E3, 2017-07-14 17:57:28, 2017-07-14 18:08:00,  6,  54, WPA2, CCMP,PSK, -80,      218,        0,   0.  0.  0.  0,   9, NETGEAR48, 
7C:05:07:C0:80:99, 2017-07-14 17:57:28, 2017-07-14 18:07:40,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -79,      275,      102,   0.  0.  0.  0,   6, c08099, 
58:00:E3:09:4F:ED, 2017-07-14 17:57:28, 2017-07-14 18:08:00,  1,  54, WPA2, CCMP,PSK, -75,      251,        0,   0.  0.  0.  0,  22, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
58:00:E3:17:3D:27, 2017-07-14 17:57:28, 2017-07-14 18:08:00,  1,  54, WPA2, CCMP,PSK, -72,      223,        0,   0.  0.  0.  0,  22, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
A0:63:91:5B:8D:13, 2017-07-14 17:57:28, 2017-07-14 18:08:02, 11,  54, WPA2, CCMP,PSK, -73,      783,       52,   0.  0.  0.  0,   9, NETGEAR22, 
20:C9:D0:A5:D1:14, 2017-07-14 17:57:28, 2017-07-14 18:08:02,  1,  54, WPA2, CCMP,PSK, -50,      861,       62,   0.  0.  0.  0,   7, Nibbler, 
34:97:F6:5F:8D:38, 2017-07-14 17:57:29, 2017-07-14 18:08:02,  3,  54, WPA2, CCMP,PSK, -32,     1350,     7908,   0.  0.  0.  0,   7, Nibbler, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:23:4E:BC:14:51, 2017-07-14 18:00:55, 2017-07-14 18:06:55,  -1,        4, 34:97:F6:5F:8D:38,
94:10:3E:4F:F8:19, 2017-07-14 18:06:20, 2017-07-14 18:06:20, -88,        1, 80:2A:A8:81:96:70,
AC:18:26:83:37:9B, 2017-07-14 18:01:20, 2017-07-14 18:06:05,  -1,        5, C8:D7:19:EC:F7:7B,
4C:82:CF:52:2E:6A, 2017-07-14 17:58:00, 2017-07-14 18:05:55, -83,       23, 84:1B:5E:DA:14:8C,
F4:06:69:5A:63:33, 2017-07-14 17:57:54, 2017-07-14 18:04:20, -68,       27, (not associated) ,NETGEAR22-5G
CC:61:E5:24:49:FF, 2017-07-14 18:04:17, 2017-07-14 18:04:17, -96,        1, (not associated) ,
F4:5E:AB:0C:44:0D, 2017-07-14 18:03:00, 2017-07-14 18:03:33, -91,        5, C8:D7:19:EC:F7:7B,
2C:0E:3D:06:63:E5, 2017-07-14 18:03:04, 2017-07-14 18:03:04, -84,        1, (not associated) ,
C4:42:02:6F:B0:03, 2017-07-14 18:02:39, 2017-07-14 18:02:40, -87,        6, 38:70:0C:10:7F:3D,
2C:0E:3D:70:A1:C1, 2017-07-14 18:01:04, 2017-07-14 18:01:04, -80,        2, (not associated) ,
A8:47:4A:F1:AD:2B, 2017-07-14 17:58:14, 2017-07-14 17:58:14,  -1,        1, A0:63:91:5B:8D:13,
00:6B:9E:48:98:BF, 2017-07-14 17:58:48, 2017-07-14 17:58:48, -92,        1, 00:8E:F2:B0:DC:DD,
58:00:E3:09:4F:EB, 2017-07-14 17:59:36, 2017-07-14 18:00:14, -76,        2, 7C:05:07:C0:80:99,
A4:5E:60:ED:ED:55, 2017-07-14 17:57:29, 2017-07-14 18:00:26, -41,       15, (not associated) ,
50:2E:5C:E6:7E:52, 2017-07-14 17:58:30, 2017-07-14 18:01:02, -67,       10, (not associated) ,NETGEAR28
BC:30:7D:29:CA:3D, 2017-07-14 17:58:05, 2017-07-14 18:02:35,  -1,        2, B2:B2:DC:83:44:A4,
7C:BB:8A:19:79:1C, 2017-07-14 17:58:06, 2017-07-14 18:03:38, -88,       10, 40:8B:07:42:CA:A8,
94:A1:A2:71:67:3D, 2017-07-14 18:01:38, 2017-07-14 18:03:47,  -1,      260, 84:1B:5E:DA:14:8C,
F4:B8:5E:4C:D6:F4, 2017-07-14 18:04:15, 2017-07-14 18:04:15,  -1,        1, 84:1B:5E:DA:14:8C,
84:B5:41:48:9A:54, 2017-07-14 18:02:02, 2017-07-14 18:05:13, -93,        5, 40:8B:07:42:CA:A8,
E0:60:66:14:48:CE, 2017-07-14 18:00:06, 2017-07-14 18:05:12, -88,        3, B0:7F:B9:FE:20:D6,
5C:96:9D:B9:2D:1F, 2017-07-14 17:58:37, 2017-07-14 18:05:22, -86,        5, (not associated) ,
70:3E:AC:C9:0C:4B, 2017-07-14 17:58:55, 2017-07-14 18:06:15, -88,       57, 84:1B:5E:DA:14:8C,Pinky Sou
14:49:E0:17:05:B2, 2017-07-14 18:00:18, 2017-07-14 18:06:34,  -1,       13, B2:B2:DC:83:44:A4,
88:79:7E:05:D1:7B, 2017-07-14 17:58:15, 2017-07-14 18:08:00, -89,       19, 40:8B:07:42:CA:A8,
AC:81:12:6A:C3:B2, 2017-07-14 18:06:27, 2017-07-14 18:07:32, -89,        3, (not associated) ,
58:82:A8:7C:D2:F8, 2017-07-14 17:59:03, 2017-07-14 18:07:59, -89,       66, 40:8B:07:42:CA:A8,
F0:79:60:26:0C:F6, 2017-07-14 17:57:55, 2017-07-14 18:07:30, -88,        9, F4:0E:83:D9:A0:2E,
D0:22:BE:10:65:27, 2017-07-14 18:07:25, 2017-07-14 18:07:25, -85,        2, 38:70:0C:10:7F:3D,
40:88:05:BF:4F:52, 2017-07-14 17:57:33, 2017-07-14 18:07:59, -83,      102, 40:8B:07:42:CA:A8,
4C:66:41:E9:4C:4E, 2017-07-14 17:57:46, 2017-07-14 18:07:04, -82,       30, (not associated) ,
18:0C:AC:04:FB:8D, 2017-07-14 17:57:30, 2017-07-14 18:08:01, -81,      778, (not associated) ,westell2227
FC:C2:DE:B6:18:5C, 2017-07-14 17:57:36, 2017-07-14 18:07:49, -79,       58, A0:63:91:5B:8D:13,
30:59:B7:46:81:A0, 2017-07-14 17:58:03, 2017-07-14 18:08:03, -83,       14, (not associated) ,
08:05:81:45:6B:C9, 2017-07-14 18:00:32, 2017-07-14 18:07:40, -78,       10, C8:D7:19:EC:F7:7B,
44:80:EB:71:9D:8B, 2017-07-14 18:04:44, 2017-07-14 18:07:23, -74,       11, (not associated) ,73ecb33eenubd,CAESARS,CenturyLink2296,NETGEAR
2C:00:A0:63:91:5B, 2017-07-14 17:57:31, 2017-07-14 18:07:59, -71,      467, 00:07:00:00:88:41,
F0:4F:7C:20:E6:5D, 2017-07-14 18:03:28, 2017-07-14 18:07:58, -72,        5, 00:8E:F2:B0:DC:DD,
A0:02:DC:02:9D:E3, 2017-07-14 17:57:36, 2017-07-14 18:08:02, -72,       33, A0:63:91:5B:8D:13,
E2:93:80:A0:4B:4D, 2017-07-14 17:57:29, 2017-07-14 18:07:38, -42,     7703, 34:97:F6:5F:8D:38,
58:55:CA:80:CB:C1, 2017-07-14 17:59:45, 2017-07-14 18:07:40,  -1,        5, C8:D7:19:EC:F7:7B,
84:98:66:78:08:0B, 2017-07-14 18:07:11, 2017-07-14 18:07:11,  -1,        1, 00:8E:F2:B0:DC:DD,

