
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
9C:34:26:FC:11:6F, 2017-07-22 20:36:36, 2017-07-22 20:37:18, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -92,        3,        0,   0.  0.  0.  0,   8, Madden01, 
BC:EE:7B:7C:C4:08, 2017-07-22 20:35:06, 2017-07-22 20:36:29,  8,  54, WPA2, CCMP,PSK, -79,       22,        9,   0.  0.  0.  0,   4, ASUS, 
9C:AD:97:63:C5:23, 2017-07-22 20:35:10, 2017-07-22 20:35:48, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       10,        0,   0.  0.  0.  0,  18, DDW365.63C523-2.4G, 
10:DA:43:12:F8:13, 2017-07-22 20:37:05, 2017-07-22 20:37:05,  1,  54, WPA2, CCMP,PSK, -93,        1,        0,   0.  0.  0.  0,   8, 02H0CATK, 
10:0D:7F:DC:83:81, 2017-07-22 20:36:13, 2017-07-22 20:37:20,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -90,        5,        6,   0.  0.  0.  0,   6, DC8381, 
EC:0E:C4:0D:2A:62, 2017-07-22 20:35:19, 2017-07-22 20:37:18, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       16,        1,   0.  0.  0.  0,  18, DDW365.0D2A62-2.4G, 
38:70:0C:CB:62:58, 2017-07-22 20:35:24, 2017-07-22 20:37:09, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       26,        0,   0.  0.  0.  0,   6, CB6258, 
20:25:64:FE:6A:C0, 2017-07-22 20:35:11, 2017-07-22 20:37:20,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -88,       23,        4,   0.  0.  0.  0,   6, fe6ac0, 
14:91:82:F0:0C:26, 2017-07-22 20:35:12, 2017-07-22 20:37:21,  2,  54, WPA2, CCMP,PSK, -89,       28,        0,   0.  0.  0.  0,   9, HausAvila, 
10:0D:7F:DB:BB:8A, 2017-07-22 20:36:22, 2017-07-22 20:37:20,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -88,        6,        0,   0.  0.  0.  0,   8, Martinez, 
78:24:AF:ED:AB:A0, 2017-07-22 20:35:06, 2017-07-22 20:37:22,  6,  54, WPA2, CCMP,PSK, -63,      357,      116,   0.  0.  0.  0,  15, Prettyfly4awifi, 
B8:C7:5D:0C:A9:F7, 2017-07-22 20:35:06, 2017-07-22 20:37:22,  6,  54, WPA2, CCMP,PSK, -47,      253,      111,   0.  0.  0.  0,   6, Bender, 
00:25:00:FF:94:73, 2017-07-22 20:35:22, 2017-07-22 20:37:20, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
62:6D:C7:8B:EF:20, 2017-07-22 20:35:06, 2017-07-22 20:37:23,  6,  54, WPA2, CCMP,PSK,   0,      316,        0,   0.  0.  0.  0,  16, DIRECT-Me-BRAVIA, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AC:5F:3E:C1:8C:52, 2017-07-22 20:36:14, 2017-07-22 20:36:14, -88,        1, BC:EE:7B:7C:C4:08,
DA:A1:19:8A:20:3B, 2017-07-22 20:35:51, 2017-07-22 20:35:51, -70,        2, (not associated) ,
DA:A1:19:74:D1:84, 2017-07-22 20:35:52, 2017-07-22 20:35:52, -83,        6, (not associated) ,
E8:61:7E:BF:AE:49, 2017-07-22 20:35:28, 2017-07-22 20:35:28,  -1,        1, 78:24:AF:ED:AB:A0,
D0:E7:82:F2:41:DF, 2017-07-22 20:35:08, 2017-07-22 20:35:08, -87,        2, (not associated) ,DC8381
30:96:FB:8B:04:49, 2017-07-22 20:35:29, 2017-07-22 20:35:30, -66,        8, (not associated) ,
00:21:79:D1:06:17, 2017-07-22 20:36:10, 2017-07-22 20:36:10, -86,        2, (not associated) ,
2C:08:8C:8C:BA:68, 2017-07-22 20:35:09, 2017-07-22 20:36:41, -94,        5, EC:0E:C4:0D:2A:62,DDW365.0D2A62-2.4G
FC:F1:36:CA:19:46, 2017-07-22 20:36:33, 2017-07-22 20:36:33, -93,        4, (not associated) ,
80:29:94:08:B0:8D, 2017-07-22 20:36:24, 2017-07-22 20:36:24, -90,        3, (not associated) ,CenturyLink8943
EA:B2:8E:DF:F2:4A, 2017-07-22 20:35:53, 2017-07-22 20:36:48, -87,       14, 00:25:00:FF:94:73,
CC:3A:61:35:F2:AB, 2017-07-22 20:36:39, 2017-07-22 20:36:39, -87,        2, (not associated) ,
1C:CB:99:03:54:2A, 2017-07-22 20:36:54, 2017-07-22 20:36:54, -87,        2, (not associated) ,
98:F1:70:09:4D:DD, 2017-07-22 20:36:58, 2017-07-22 20:36:58, -87,        1, (not associated) ,
2C:08:8C:20:F2:3C, 2017-07-22 20:35:16, 2017-07-22 20:37:10, -86,        8, EC:1A:59:95:F5:14,
40:16:3B:DC:C4:9A, 2017-07-22 20:36:49, 2017-07-22 20:36:49, -86,        2, (not associated) ,
56:D6:E8:65:44:B5, 2017-07-22 20:35:22, 2017-07-22 20:37:20, -86,       16, 00:25:00:FF:94:73,
90:B6:86:62:61:F5, 2017-07-22 20:36:31, 2017-07-22 20:36:31, -85,        3, (not associated) ,
34:69:87:EB:C4:A6, 2017-07-22 20:35:14, 2017-07-22 20:36:40, -84,        6, (not associated) ,zmd_sap
DA:A1:19:B9:91:86, 2017-07-22 20:37:09, 2017-07-22 20:37:09, -84,        4, (not associated) ,
F8:04:2E:DE:BE:67, 2017-07-22 20:35:10, 2017-07-22 20:37:21, -79,       87, (not associated) ,CenturyLink1642
DA:A1:19:D5:28:2A, 2017-07-22 20:36:21, 2017-07-22 20:36:21, -75,        3, (not associated) ,
60:6D:C7:8B:EF:20, 2017-07-22 20:35:06, 2017-07-22 20:37:22, -68,       77, 78:24:AF:ED:AB:A0,
00:26:82:DA:02:7D, 2017-07-22 20:36:45, 2017-07-22 20:36:46, -62,        3, (not associated) ,
6C:AD:F8:15:0B:0F, 2017-07-22 20:35:10, 2017-07-22 20:37:06, -49,       74, B8:C7:5D:0C:A9:F7,Bender
