
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
9C:34:26:FC:11:6F, 2017-07-22 20:43:20, 2017-07-22 20:53:56, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       32,        0,   0.  0.  0.  0,   8, Madden01, 
00:25:00:FF:94:73, 2017-07-22 20:39:19, 2017-07-22 20:53:57, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
10:0D:7F:DB:BB:8A, 2017-07-22 20:39:23, 2017-07-22 20:48:49,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -87,        6,        2,   0.  0.  0.  0,   8, Martinez, 
10:0D:7F:DC:83:81, 2017-07-22 20:39:27, 2017-07-22 20:52:26,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -91,       27,       43,   0.  0.  0.  0,   6, DC8381, 
9C:AD:97:63:C5:23, 2017-07-22 20:40:28, 2017-07-22 20:53:57, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       76,       15,   0.  0.  0.  0,  18, DDW365.63C523-2.4G, 
20:25:64:FE:6A:C0, 2017-07-22 20:39:18, 2017-07-22 20:53:57,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -91,      156,       71,   0.  0.  0.  0,   6, fe6ac0, 
EC:0E:C4:0D:2A:62, 2017-07-22 20:39:22, 2017-07-22 20:53:47, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       77,        7,   0.  0.  0.  0,  18, DDW365.0D2A62-2.4G, 
10:0D:7F:DB:09:43, 2017-07-22 20:40:01, 2017-07-22 20:53:38,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       85,       16,   0.  0.  0.  0,   6, DB0943, 
14:91:82:F0:0C:26, 2017-07-22 20:39:24, 2017-07-22 20:53:54,  2,  54, WPA2, CCMP,PSK, -90,      136,       83,   0.  0.  0.  0,   9, HausAvila, 
38:70:0C:CB:62:58, 2017-07-22 20:39:21, 2017-07-22 20:53:57, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -90,      285,        0,   0.  0.  0.  0,   6, CB6258, 
B0:A7:37:AD:D4:15, 2017-07-22 20:43:37, 2017-07-22 20:53:40,  8,  54, WPA2, CCMP,PSK, -88,       19,        0,   0.  0.  0.  0,  15, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
62:6D:C7:8B:EF:20, 2017-07-22 20:39:41, 2017-07-22 20:53:57,  6,  54, WPA2, CCMP,PSK, -67,      406,        0,   0.  0.  0.  0,  16, DIRECT-Me-BRAVIA, 
78:24:AF:ED:AB:A0, 2017-07-22 20:39:21, 2017-07-22 20:53:57,  6,  54, WPA2, CCMP,PSK, -68,     1236,      212,   0.  0.  0.  0,  15, Prettyfly4awifi, 
BC:EE:7B:7C:C4:08, 2017-07-22 20:39:18, 2017-07-22 20:53:54,  8,  54, WPA2, CCMP,PSK, -79,      704,      115,   0.  0.  0.  0,   4, ASUS, 
B8:C7:5D:0C:A9:F7, 2017-07-22 20:39:21, 2017-07-22 20:53:57,  6,  54, WPA2, CCMP,PSK, -46,     1266,      607,   0.  0.  0.  0,   6, Bender, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
40:16:3B:DC:C4:9A, 2017-07-22 20:42:09, 2017-07-22 20:52:49, -88,        5, (not associated) ,
56:D6:E8:65:44:B5, 2017-07-22 20:39:19, 2017-07-22 20:53:57, -85,       29, 00:25:00:FF:94:73,
2C:08:8C:20:F2:3C, 2017-07-22 20:39:23, 2017-07-22 20:52:41, -86,       31, EC:1A:59:95:F5:14,
80:29:94:08:B0:8D, 2017-07-22 20:39:54, 2017-07-22 20:52:24, -84,       18, (not associated) ,CenturyLink8943
FC:F1:36:CA:19:46, 2017-07-22 20:42:53, 2017-07-22 20:52:24, -93,       13, (not associated) ,
90:B6:86:62:61:F5, 2017-07-22 20:41:35, 2017-07-22 20:53:54, -85,       18, BC:EE:7B:7C:C4:08,
EC:88:92:D7:DE:DC, 2017-07-22 20:52:03, 2017-07-22 20:52:03, -69,        1, (not associated) ,
EC:1F:72:F2:FB:E7, 2017-07-22 20:51:51, 2017-07-22 20:51:51, -93,        5, (not associated) ,lovepink808,attwifi
DA:A1:19:1E:6D:D4, 2017-07-22 20:51:24, 2017-07-22 20:51:24, -81,        3, (not associated) ,
8C:7C:92:15:9B:4A, 2017-07-22 20:42:34, 2017-07-22 20:51:26, -87,        3, EC:1A:59:95:F5:14,belkin.514
14:1F:78:AF:34:56, 2017-07-22 20:40:59, 2017-07-22 20:50:25, -71,       30, (not associated) ,
5C:AF:06:23:F7:44, 2017-07-22 20:50:12, 2017-07-22 20:50:12, -85,        2, (not associated) ,
34:69:87:EB:C4:A6, 2017-07-22 20:40:34, 2017-07-22 20:50:02, -83,       66, (not associated) ,zmd_sap
B0:05:94:98:A0:75, 2017-07-22 20:49:12, 2017-07-22 20:49:12,  -1,        1, 9C:AD:97:63:C5:23,
E8:61:7E:BF:AE:49, 2017-07-22 20:43:28, 2017-07-22 20:47:28,  -1,        2, 78:24:AF:ED:AB:A0,
DA:A1:19:34:7F:5A, 2017-07-22 20:45:36, 2017-07-22 20:45:36, -80,        3, (not associated) ,
5C:70:A3:6E:A2:B8, 2017-07-22 20:44:51, 2017-07-22 20:45:36, -84,        7, (not associated) ,
70:F1:A1:0B:DE:E5, 2017-07-22 20:44:50, 2017-07-22 20:44:50, -93,        1, (not associated) ,
E8:B1:FC:76:63:3A, 2017-07-22 20:42:28, 2017-07-22 20:42:28, -72,        2, (not associated) ,Bender
58:91:CF:A9:40:70, 2017-07-22 20:41:03, 2017-07-22 20:41:03,  -1,        1, 10:0D:7F:DB:09:43,
AC:5F:3E:C1:8C:52, 2017-07-22 20:39:26, 2017-07-22 20:39:26, -90,        6, (not associated) ,Swisscom_Auto_Login,Free_Swisscom_Auto_Login
B0:A7:37:AD:D4:13, 2017-07-22 20:39:34, 2017-07-22 20:39:34,  -1,        1, BC:EE:7B:7C:C4:08,
CC:3A:61:35:F2:AB, 2017-07-22 20:39:34, 2017-07-22 20:39:34,  -1,        1, BC:EE:7B:7C:C4:08,
30:96:FB:8B:04:49, 2017-07-22 20:42:08, 2017-07-22 20:42:08, -64,        1, (not associated) ,
42:09:6A:25:44:4E, 2017-07-22 20:43:09, 2017-07-22 20:43:09, -90,        1, (not associated) ,
FC:C2:DE:B2:1F:D1, 2017-07-22 20:44:32, 2017-07-22 20:44:32, -91,        1, (not associated) ,
