
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:F3:9C:F1:0B:E1, 2017-07-23 12:01:16, 2017-07-23 12:01:30,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:40:7D:D2, 2017-07-23 12:01:20, 2017-07-23 12:02:46,  6,  54, WPA2, CCMP, MGT, -77,       22,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:40:7D:D0, 2017-07-23 12:01:15, 2017-07-23 12:02:46,  6,  54, WPA2, CCMP, MGT, -77,       21,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:45:E5:80, 2017-07-23 12:01:11, 2017-07-23 12:02:41,  1,  54, WPA2, CCMP, MGT, -76,       25,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:45:E5:82, 2017-07-23 12:01:11, 2017-07-23 12:02:46,  1,  54, WPA2, CCMP, MGT, -75,       24,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:0E:92, 2017-07-23 12:01:19, 2017-07-23 12:02:45, 11,  54, WPA2, CCMP, MGT, -72,       28,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:0E:90, 2017-07-23 12:01:15, 2017-07-23 12:02:41, 11,  54, WPA2, CCMP, MGT, -71,       25,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:EC:FD:72, 2017-07-23 12:01:15, 2017-07-23 12:02:45, 11,  54, WPA2, CCMP, MGT, -70,       33,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:EC:FD:70, 2017-07-23 12:01:15, 2017-07-23 12:02:45, 11,  54, WPA2, CCMP, MGT, -70,       43,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0F:00, 2017-07-23 12:01:11, 2017-07-23 12:02:46,  1,  54, WPA2, CCMP, MGT, -62,       48,        1,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0F:02, 2017-07-23 12:01:11, 2017-07-23 12:02:46,  1,  54, WPA2, CCMP, MGT, -62,       45,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:46:95:60, 2017-07-23 12:01:11, 2017-07-23 12:02:46,  1,  54, WPA2, CCMP, MGT, -60,       43,        4,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:46:95:62, 2017-07-23 12:01:11, 2017-07-23 12:02:46,  1,  54, WPA2, CCMP, MGT, -61,       46,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:E4:9B:C0, 2017-07-23 12:01:11, 2017-07-23 12:02:46,  6,  54, WPA2, CCMP TKIP, MGT, -39,      192,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:E4:9B:C2, 2017-07-23 12:01:15, 2017-07-23 12:02:46,  6,  54, WPA2, CCMP, MGT, -40,       48,        0,   0.  0.  0.  0,   7, eduroam, 
00:25:00:FF:94:73, 2017-07-23 12:01:15, 2017-07-23 12:02:46, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:24:D7:C8:94:DC, 2017-07-23 12:01:38, 2017-07-23 12:01:38, -83,        4, (not associated) ,UNLV-Guest
AC:BC:32:96:74:EB, 2017-07-23 12:01:32, 2017-07-23 12:01:40, -88,        6, (not associated) ,
DA:A1:19:4B:21:7F, 2017-07-23 12:01:28, 2017-07-23 12:01:28, -87,        3, (not associated) ,
7A:80:53:2E:84:38, 2017-07-23 12:01:11, 2017-07-23 12:01:11, -86,        2, (not associated) ,
EC:9B:F3:48:82:78, 2017-07-23 12:01:22, 2017-07-23 12:01:22, -90,        2, (not associated) ,attwifi
54:F2:01:44:BF:FB, 2017-07-23 12:01:22, 2017-07-23 12:01:22, -82,        1, (not associated) ,
44:78:3E:F2:56:39, 2017-07-23 12:01:33, 2017-07-23 12:01:33, -89,        1, (not associated) ,
00:1B:63:08:82:3E, 2017-07-23 12:01:13, 2017-07-23 12:01:33, -53,       36, (not associated) ,UNLV-Guest,Belkin_Pre-N_69B99C,04Z411324948,James,NETGEAR,gogoinflight,Au Bon Pain
10:1C:0C:19:43:B4, 2017-07-23 12:01:42, 2017-07-23 12:02:17, -93,        2, (not associated) ,
68:B5:99:8E:B4:07, 2017-07-23 12:02:35, 2017-07-23 12:02:35, -93,        1, (not associated) ,HP8EB407
8C:F5:A3:2E:92:63, 2017-07-23 12:01:15, 2017-07-23 12:02:32, -92,       14, (not associated) ,attwifi
E8:50:8B:FF:A7:25, 2017-07-23 12:02:07, 2017-07-23 12:02:07, -91,        1, (not associated) ,
68:B5:99:8D:05:12, 2017-07-23 12:01:14, 2017-07-23 12:02:40, -90,       19, 02:2C:6C:6E:A7:69,HP8D0512
F2:68:B5:8B:CA:2D, 2017-07-23 12:01:39, 2017-07-23 12:02:40, -90,        3, (not associated) ,
7E:BB:8A:CB:35:2E, 2017-07-23 12:01:15, 2017-07-23 12:02:46, -85,       11, (not associated) ,Nintendo_3DS_continuous_scan_000
AC:0D:1B:F1:DF:05, 2017-07-23 12:02:04, 2017-07-23 12:02:05, -85,        2, (not associated) ,
1E:44:B9:2E:61:1F, 2017-07-23 12:01:15, 2017-07-23 12:02:46, -84,       34, 00:25:00:FF:94:73,
00:22:41:93:C6:B8, 2017-07-23 12:01:39, 2017-07-23 12:02:24, -84,        3, (not associated) ,Peter Pan Free Onboard Wifi
A4:F1:E8:B7:E6:A8, 2017-07-23 12:02:17, 2017-07-23 12:02:17, -84,        1, (not associated) ,
2A:DF:9E:01:F5:C3, 2017-07-23 12:02:40, 2017-07-23 12:02:40, -84,        1, (not associated) ,
64:76:BA:91:BE:EA, 2017-07-23 12:02:34, 2017-07-23 12:02:37, -78,        8, (not associated) ,
BE:42:5B:32:42:A6, 2017-07-23 12:01:25, 2017-07-23 12:02:14, -78,       10, (not associated) ,
96:64:FE:A7:51:1F, 2017-07-23 12:01:23, 2017-07-23 12:02:46, -63,       47, (not associated) ,
20:D1:60:06:D4:63, 2017-07-23 12:01:16, 2017-07-23 12:02:22, -75,        6, 58:F3:9C:F1:0B:E1,
3C:F8:62:BB:0D:D7, 2017-07-23 12:01:11, 2017-07-23 12:02:31, -74,        8, (not associated) ,
EA:1C:4D:5B:62:3A, 2017-07-23 12:01:14, 2017-07-23 12:02:43, -92,       15, (not associated) ,IMP,zhang,FELICITY
0C:D7:46:21:9C:50, 2017-07-23 12:02:30, 2017-07-23 12:02:31, -61,       13, 58:F3:9C:E4:9B:C1,UNLV-Guest
9C:35:EB:46:69:8F, 2017-07-23 12:02:45, 2017-07-23 12:02:45, -75,        3, (not associated) ,UNLV-Guest
7E:62:8B:3F:3F:FE, 2017-07-23 12:02:45, 2017-07-23 12:02:45, -88,        1, (not associated) ,

