
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:F3:9C:45:E5:80, 2017-07-23 12:20:41, 2017-07-23 12:21:28,  1,  54, WPA2, CCMP, MGT, -78,        7,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:45:E5:82, 2017-07-23 12:20:41, 2017-07-23 12:21:37,  1,  54, WPA2, CCMP, MGT, -78,        8,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:0E:90, 2017-07-23 12:20:45, 2017-07-23 12:21:36, 11,  54, WPA2, CCMP, MGT, -70,       27,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0E:92, 2017-07-23 12:20:45, 2017-07-23 12:21:36, 11,  54, WPA2, CCMP, MGT, -70,       25,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:EC:FD:70, 2017-07-23 12:20:45, 2017-07-23 12:21:36, 11,  54, WPA2, CCMP, MGT, -69,       29,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:EC:FD:72, 2017-07-23 12:20:45, 2017-07-23 12:21:36, 11,  54, WPA2, CCMP, MGT, -69,       27,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:0F:02, 2017-07-23 12:20:41, 2017-07-23 12:21:37,  1,  54, WPA2, CCMP, MGT, -61,       31,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:46:95:62, 2017-07-23 12:20:41, 2017-07-23 12:21:37,  1,  54, WPA2, CCMP, MGT, -58,       28,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:46:95:60, 2017-07-23 12:20:41, 2017-07-23 12:21:37,  1,  54, WPA2, CCMP, MGT, -58,       29,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:E4:9B:C0, 2017-07-23 12:20:45, 2017-07-23 12:21:37,  6,  54, WPA2, CCMP, MGT, -47,       43,        2,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:E4:9B:C2, 2017-07-23 12:20:45, 2017-07-23 12:21:37,  6,  54, WPA2, CCMP, MGT, -47,       43,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:0F:00, 2017-07-23 12:20:41, 2017-07-23 12:21:38,  1,  54, WPA2, CCMP TKIP, MGT, -46,       66,        2,   0.  0.  0.  0,  11, UNLV-Secure, 
00:25:00:FF:94:73, 2017-07-23 12:20:45, 2017-07-23 12:21:37, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
EC:9B:F3:51:3E:AD, 2017-07-23 12:20:45, 2017-07-23 12:20:45, -92,        1, (not associated) ,
7A:9F:7E:1D:C9:B8, 2017-07-23 12:21:05, 2017-07-23 12:21:05, -90,        1, (not associated) ,
7C:D1:C3:DA:6E:E9, 2017-07-23 12:21:00, 2017-07-23 12:21:00, -89,        1, (not associated) ,
06:1A:75:F4:28:47, 2017-07-23 12:21:18, 2017-07-23 12:21:18, -88,        1, (not associated) ,
A6:30:AB:F3:7B:34, 2017-07-23 12:21:27, 2017-07-23 12:21:40, -84,        4, (not associated) ,
1E:44:B9:2E:61:1F, 2017-07-23 12:20:45, 2017-07-23 12:21:37, -86,       25, 00:25:00:FF:94:73,
7E:BB:8A:CB:35:2E, 2017-07-23 12:20:41, 2017-07-23 12:21:36, -85,       26, (not associated) ,Nintendo_3DS_continuous_scan_000
64:BC:0C:51:D8:E5, 2017-07-23 12:21:06, 2017-07-23 12:21:06, -85,        1, (not associated) ,
3C:F8:62:BB:0D:D7, 2017-07-23 12:21:01, 2017-07-23 12:21:32, -85,        3, (not associated) ,
20:D1:60:06:D4:63, 2017-07-23 12:20:50, 2017-07-23 12:21:08, -81,        9, 58:F3:9C:F1:0F:F1,
EA:BA:10:EE:DF:F1, 2017-07-23 12:20:56, 2017-07-23 12:20:56, -75,        1, (not associated) ,
00:24:D7:93:83:F4, 2017-07-23 12:20:57, 2017-07-23 12:20:57, -69,        2, (not associated) ,
96:64:FE:A7:51:1F, 2017-07-23 12:20:44, 2017-07-23 12:20:44, -67,        2, (not associated) ,
12:26:25:97:E9:F8, 2017-07-23 12:21:36, 2017-07-23 12:21:36, -89,        1, (not associated) ,

