
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:F3:9C:EC:FD:70, 2017-07-23 13:27:25, 2017-07-23 13:49:07, 11,  54, WPA2, CCMP, MGT, -79,        3,       19,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0E:9E, 2017-07-23 13:46:43, 2017-07-23 13:46:43,  8,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:F1:0C:6E, 2017-07-23 13:42:54, 2017-07-23 13:42:54,  2,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:EC:FD:72, 2017-07-23 13:27:34, 2017-07-23 13:27:53, 11,  54, WPA2, CCMP, MGT, -79,        2,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:82:FF, 2017-07-23 13:28:34, 2017-07-23 13:28:34,  8,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FC:2D:5E:37:55:5E, 2017-07-23 13:42:14, 2017-07-23 13:42:14,  6,  -1, , ,   , -84,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:46:99:E0, 2017-07-23 13:44:46, 2017-07-23 13:44:46, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:F1:30:9F, 2017-07-23 13:46:50, 2017-07-23 13:46:50,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:F1:2B:E0, 2017-07-23 13:47:23, 2017-07-23 13:47:23, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:F1:0F:FF, 2017-07-23 13:49:02, 2017-07-23 13:49:02, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:F0:DE:00, 2017-07-23 13:49:36, 2017-07-23 13:49:36, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:E8:D6:52, 2017-07-23 13:30:12, 2017-07-23 13:51:31,  6,  54, WPA2, CCMP, MGT, -79,       48,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:E8:D6:50, 2017-07-23 13:30:16, 2017-07-23 13:51:31,  6,  54, WPA2, CCMP, MGT, -79,       63,       14,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0F:00, 2017-07-23 13:27:11, 2017-07-23 13:51:41,  1,  54, WPA2, CCMP TKIP, MGT, -70,      729,       26,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0F:02, 2017-07-23 13:27:11, 2017-07-23 13:51:41,  1,  54, WPA2, CCMP TKIP, MGT, -71,     1097,       19,   0.  0.  0.  0,  11, eduroam\x00\x00\x00\x00, 
58:F3:9C:F1:0E:90, 2017-07-23 13:27:12, 2017-07-23 13:51:40, 11,  54, WPA2, CCMP TKIP, MGT, -72,      546,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0E:92, 2017-07-23 13:27:20, 2017-07-23 13:51:40, 11,  54, WPA2, CCMP, MGT, -71,      448,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:46:95:60, 2017-07-23 13:27:11, 2017-07-23 13:51:41,  1,  54, WPA2, CCMP TKIP, MGT, -57,     1188,       37,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:46:95:62, 2017-07-23 13:27:11, 2017-07-23 13:51:41,  1,  54, WPA2, CCMP TKIP, MGT, -56,     1103,        0,   0.  0.  0.  0,  11, eduroam\x00\x00\x00\x00, 
58:F3:9C:E4:9B:C2, 2017-07-23 13:27:16, 2017-07-23 13:51:40,  6,  54, WPA2, CCMP, MGT, -46,      667,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:E4:9B:C0, 2017-07-23 13:27:16, 2017-07-23 13:51:42,  6,  54, WPA2, CCMP TKIP, MGT, -42,     1288,      146,   0.  0.  0.  0,  11, UNLV-Secure, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
62:7F:B9:BE:9E:D7, 2017-07-23 13:50:34, 2017-07-23 13:50:35, -70,        2, (not associated) ,
2C:0E:3D:DF:B5:DC, 2017-07-23 13:42:50, 2017-07-23 13:50:38, -77,       31, (not associated) ,attwifi
8C:F5:A3:2E:92:63, 2017-07-23 13:27:45, 2017-07-23 13:50:38, -89,      153, (not associated) ,attwifi
92:F8:63:0C:5A:9F, 2017-07-23 13:50:12, 2017-07-23 13:50:25, -84,        4, (not associated) ,
CC:FD:17:46:EC:58, 2017-07-23 13:30:53, 2017-07-23 13:50:27, -91,       17, (not associated) ,UNLV-Guest
2A:98:7A:65:06:8B, 2017-07-23 13:47:22, 2017-07-23 13:50:11, -87,        4, (not associated) ,
12:08:9E:E8:5D:8D, 2017-07-23 13:49:30, 2017-07-23 13:49:59, -92,        4, (not associated) ,
A0:39:F7:63:C1:C8, 2017-07-23 13:49:32, 2017-07-23 13:49:51,  -1,        5, 58:F3:9C:EC:F9:D1,
70:70:0D:25:B9:89, 2017-07-23 13:49:36, 2017-07-23 13:49:36, -90,       12, 58:F3:9C:F0:DE:00,UNLV-Secure
78:FD:94:21:E0:CB, 2017-07-23 13:29:09, 2017-07-23 13:48:59, -81,       17, (not associated) ,UNLV-Secure
B6:53:7A:6D:6C:CC, 2017-07-23 13:48:52, 2017-07-23 13:48:52, -87,        3, (not associated) ,
C2:55:39:04:D8:43, 2017-07-23 13:42:36, 2017-07-23 13:48:23, -84,       25, (not associated) ,
44:00:10:3E:8D:7F, 2017-07-23 13:48:23, 2017-07-23 13:48:23, -88,        1, (not associated) ,UNLV-Secure
40:0E:85:19:3F:F0, 2017-07-23 13:47:58, 2017-07-23 13:48:15, -83,        4, (not associated) ,UNLV-Guest
42:B6:C0:D6:04:55, 2017-07-23 13:48:12, 2017-07-23 13:48:12, -90,        1, (not associated) ,
C6:1D:8E:11:0B:28, 2017-07-23 13:47:53, 2017-07-23 13:48:01, -83,        9, (not associated) ,
34:02:86:5F:E0:6A, 2017-07-23 13:29:32, 2017-07-23 13:47:40, -80,       21, (not associated) ,UNLV-Secure
00:24:D7:C8:94:DC, 2017-07-23 13:27:20, 2017-07-23 13:47:13, -82,       12, (not associated) ,UNLV-Guest
40:4D:7F:E0:40:B9, 2017-07-23 13:46:50, 2017-07-23 13:46:50, -87,        9, 58:F3:9C:F1:30:9F,UNLV-Secure
56:62:08:BF:35:8D, 2017-07-23 13:46:37, 2017-07-23 13:46:37, -90,       21, (not associated) ,DF0759,JJs Internet-Faster,Accessvip,NETGEAR61,CSN_Guest,Linksys01056-guest,AndroidAP,Lowes-Guest-WiFi,CSN_Student,LDSAccess
98:FE:94:42:96:22, 2017-07-23 13:46:25, 2017-07-23 13:46:25, -86,        1, (not associated) ,
B6:27:B1:3E:48:91, 2017-07-23 13:46:06, 2017-07-23 13:46:14, -84,        3, (not associated) ,
DA:A1:19:3E:AF:F2, 2017-07-23 13:46:01, 2017-07-23 13:46:01, -74,        2, (not associated) ,
E8:50:8B:FF:A7:25, 2017-07-23 13:46:02, 2017-07-23 13:46:02, -89,        3, (not associated) ,attwifi
2E:0F:F7:47:D3:D2, 2017-07-23 13:45:59, 2017-07-23 13:45:59, -91,        2, (not associated) ,
66:8A:76:37:13:41, 2017-07-23 13:45:36, 2017-07-23 13:45:36, -86,        1, (not associated) ,
06:BB:FB:DD:63:1E, 2017-07-23 13:43:16, 2017-07-23 13:43:59, -85,       12, 00:25:00:FF:94:73,
10:A5:D0:B8:C5:BC, 2017-07-23 13:31:11, 2017-07-23 13:43:12, -86,        8, (not associated) ,
7C:BB:8A:19:F5:0E, 2017-07-23 13:43:01, 2017-07-23 13:43:01, -91,        1, (not associated) ,mm4nQ.3Oe^u:8@N4mvCt+R7-.*sb:AB[
4C:34:88:5D:4C:4C, 2017-07-23 13:27:46, 2017-07-23 13:42:47, -89,       11, (not associated) ,
E6:C9:80:42:22:41, 2017-07-23 13:40:13, 2017-07-23 13:42:28, -81,        5, (not associated) ,
86:B7:6D:E0:9B:1B, 2017-07-23 13:42:00, 2017-07-23 13:42:23, -89,        3, (not associated) ,
