
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
58:F3:9C:E8:F1:E1, 2017-07-23 16:25:05, 2017-07-23 16:25:05, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:F1:0F:F1, 2017-07-23 16:25:00, 2017-07-23 16:25:00, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:ED:00:01, 2017-07-23 16:25:01, 2017-07-23 16:25:01,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
58:F3:9C:F1:0F:F0, 2017-07-23 16:24:32, 2017-07-23 16:25:21, 11,  54, WPA2, CCMP, MGT, -80,        1,        2,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:E8:D6:52, 2017-07-23 16:24:27, 2017-07-23 16:25:24,  6,  54, WPA2, CCMP, MGT, -78,       17,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:E8:D6:50, 2017-07-23 16:24:27, 2017-07-23 16:25:24,  6,  54, WPA2, CCMP, MGT, -78,       19,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:E8:EE:20, 2017-07-23 16:24:32, 2017-07-23 16:25:24,  6,  54, WPA2, CCMP, MGT, -77,       21,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:E8:EE:22, 2017-07-23 16:24:27, 2017-07-23 16:25:24,  6,  54, WPA2, CCMP, MGT, -77,       21,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:0E:92, 2017-07-23 16:24:27, 2017-07-23 16:25:29, 11,  54, WPA2, CCMP, MGT, -74,       16,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:F1:0E:90, 2017-07-23 16:24:27, 2017-07-23 16:25:29, 11,  54, WPA2, CCMP, MGT, -75,       25,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0F:00, 2017-07-23 16:24:23, 2017-07-23 16:25:25,  1,  54, WPA2, CCMP, MGT, -73,       28,      179,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:F1:0F:02, 2017-07-23 16:24:23, 2017-07-23 16:25:25,  1,  54, WPA2, CCMP, MGT, -72,       30,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:EC:FD:72, 2017-07-23 16:24:27, 2017-07-23 16:25:29, 11,  54, WPA2, CCMP, MGT, -67,       32,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:EC:FD:70, 2017-07-23 16:24:27, 2017-07-23 16:25:29, 11,  54, WPA2, CCMP, MGT, -67,       32,        2,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:46:95:62, 2017-07-23 16:24:23, 2017-07-23 16:25:25,  1,  54, WPA2, CCMP, MGT, -53,       29,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:46:95:60, 2017-07-23 16:24:23, 2017-07-23 16:25:25,  1,  54, WPA2, CCMP, MGT, -53,       27,        0,   0.  0.  0.  0,  11, UNLV-Secure, 
58:F3:9C:E4:9B:C2, 2017-07-23 16:24:27, 2017-07-23 16:25:24,  6,  54, WPA2, CCMP, MGT, -51,       32,        0,   0.  0.  0.  0,   7, eduroam, 
58:F3:9C:E4:9B:C0, 2017-07-23 16:24:23, 2017-07-23 16:25:28,  6,  54, WPA2, CCMP TKIP, MGT, -42,      137,        0,   0.  0.  0.  0,  27, UNLV-Secure\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
58:F3:9C:F1:87:41, 2017-07-23 16:24:46, 2017-07-23 16:25:14, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
3E:E1:5B:18:E0:79, 2017-07-23 16:24:26, 2017-07-23 16:24:26, -78,        2, (not associated) ,
16:2D:B5:C1:0E:1E, 2017-07-23 16:24:25, 2017-07-23 16:24:25, -79,        1, (not associated) ,
DA:A1:19:1B:04:B8, 2017-07-23 16:24:24, 2017-07-23 16:24:24, -83,        2, (not associated) ,
DA:A1:19:25:7C:30, 2017-07-23 16:24:23, 2017-07-23 16:24:23, -86,        2, (not associated) ,
3E:36:69:C4:B8:3C, 2017-07-23 16:24:23, 2017-07-23 16:24:23, -89,        1, (not associated) ,
16:5D:D6:96:4B:3B, 2017-07-23 16:24:38, 2017-07-23 16:24:38, -92,        1, (not associated) ,
8C:F5:A3:2E:92:63, 2017-07-23 16:25:12, 2017-07-23 16:25:12, -90,        1, (not associated) ,
02:AD:94:98:E6:6E, 2017-07-23 16:24:29, 2017-07-23 16:24:29, -89,        1, (not associated) ,
DA:A1:19:47:67:1B, 2017-07-23 16:24:36, 2017-07-23 16:24:36, -89,        2, (not associated) ,
10:1C:0C:19:43:B4, 2017-07-23 16:24:54, 2017-07-23 16:24:54, -87,        1, (not associated) ,
0E:2B:69:D5:60:4B, 2017-07-23 16:25:24, 2017-07-23 16:25:29, -78,        5, (not associated) ,
DA:A1:19:D5:F5:A9, 2017-07-23 16:24:29, 2017-07-23 16:24:29, -86,        1, (not associated) ,
88:53:95:8A:47:72, 2017-07-23 16:24:30, 2017-07-23 16:25:15, -86,        2, (not associated) ,
A4:F1:E8:B7:E6:A8, 2017-07-23 16:24:46, 2017-07-23 16:24:46, -86,        2, (not associated) ,
DA:A1:19:D2:BB:6F, 2017-07-23 16:24:46, 2017-07-23 16:24:46, -85,        1, (not associated) ,
3C:F8:62:BB:0D:D7, 2017-07-23 16:24:32, 2017-07-23 16:24:52, -85,        4, (not associated) ,
DA:A1:19:00:B2:F6, 2017-07-23 16:24:54, 2017-07-23 16:24:54, -85,        3, (not associated) ,
96:D6:88:E9:35:5B, 2017-07-23 16:24:55, 2017-07-23 16:24:56, -84,        3, (not associated) ,
B8:08:CF:4D:E0:B0, 2017-07-23 16:24:56, 2017-07-23 16:24:56, -84,        1, (not associated) ,
68:B5:99:8D:05:12, 2017-07-23 16:24:25, 2017-07-23 16:25:29, -88,       60, 02:2C:6C:6E:A7:69,HP8D0512
00:22:41:93:C6:B8, 2017-07-23 16:24:57, 2017-07-23 16:24:58, -83,        3, (not associated) ,Peter Pan Free Onboard Wifi
02:ED:BE:EB:3C:6F, 2017-07-23 16:25:21, 2017-07-23 16:25:21, -81,        2, (not associated) ,
6E:9A:F7:34:38:FA, 2017-07-23 16:24:33, 2017-07-23 16:25:09, -80,        5, (not associated) ,
2E:D1:B9:1A:A4:74, 2017-07-23 16:25:20, 2017-07-23 16:25:20, -80,        1, (not associated) ,
FC:DB:B3:CD:41:7B, 2017-07-23 16:24:46, 2017-07-23 16:25:14, -78,        3, 58:F3:9C:F1:87:41,
66:F1:0F:4A:61:D0, 2017-07-23 16:24:51, 2017-07-23 16:24:51, -70,        4, (not associated) ,
00:24:D7:93:83:F4, 2017-07-23 16:24:49, 2017-07-23 16:24:49, -67,        5, (not associated) ,UNLV-Guest
52:4D:E5:C8:F2:90, 2017-07-23 16:24:41, 2017-07-23 16:25:07, -62,        7, (not associated) ,
8C:A9:82:81:3C:56, 2017-07-23 16:24:34, 2017-07-23 16:25:11, -62,        8, 58:F3:9C:F1:0F:00,UNLV-Secure
18:4F:32:AA:3D:9B, 2017-07-23 16:24:33, 2017-07-23 16:25:29, -62,      126, 58:F3:9C:E4:9B:C1,
D2:EE:20:61:39:A1, 2017-07-23 16:25:15, 2017-07-23 16:25:27, -60,       18, (not associated) ,
B8:EE:65:F2:39:D8, 2017-07-23 16:24:28, 2017-07-23 16:24:52, -57,      174, 58:F3:9C:F1:0F:00,
