
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
38:70:0C:CB:62:58, 2017-07-24 10:56:24, 2017-07-24 11:06:41, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       98,        0,   0.  0.  0.  0,   6, CB6258, 
EC:0E:C4:0D:2A:62, 2017-07-24 10:58:41, 2017-07-24 11:05:41, 11,  54, WPA2 WPA OPN, CCMP TKIP,PSK, -90,        2,        2,   0.  0.  0.  0,  18, DDW365.0D2A62-2.4G, 
2C:33:7A:96:D2:4A, 2017-07-24 10:57:06, 2017-07-24 11:05:37, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -91,       30,        1,   0.  0.  0.  0,  10, Cox Router, 
3C:7A:8A:F9:B4:BA, 2017-07-24 10:56:26, 2017-07-24 11:03:36,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       10,        0,   0.  0.  0.  0,   6, F9B4BA, 
9C:34:26:FC:11:6F, 2017-07-24 10:57:41, 2017-07-24 10:57:41, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -91,        1,        0,   0.  0.  0.  0,   8, Madden01, 
04:BF:6D:E6:E2:C7, 2017-07-24 10:56:41, 2017-07-24 10:56:41,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -93,        1,        0,   0.  0.  0.  0,  15, CenturyLink7882, 
04:BF:6D:E0:50:CE, 2017-07-24 11:04:42, 2017-07-24 11:05:54, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -87,        4,        0,   0.  0.  0.  0,  15, CenturyLink9365, 
10:0D:7F:DB:09:43, 2017-07-24 11:06:25, 2017-07-24 11:06:25,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -91,        1,        0,   0.  0.  0.  0,   6, DB0943, 
EC:AA:A0:95:94:68, 2017-07-24 10:56:25, 2017-07-24 11:06:43, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       62,       88,   0.  0.  0.  0,   8, Wireless, 
84:1B:5E:42:50:36, 2017-07-24 10:56:54, 2017-07-24 11:06:20,  6,  54, WPA2, CCMP,PSK, -90,       26,        2,   0.  0.  0.  0,   9, NETGEAR15, 
9C:AD:97:63:C5:23, 2017-07-24 10:56:22, 2017-07-24 11:06:39,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -90,      165,        2,   0.  0.  0.  0,  18, DDW365.63C523-2.4G, 
14:91:82:F0:0C:26, 2017-07-24 10:56:23, 2017-07-24 11:06:28, 10,  54, WPA2, CCMP,PSK, -89,       33,        0,   0.  0.  0.  0,   9, HausAvila, 
10:0D:7F:E2:1D:02, 2017-07-24 10:57:07, 2017-07-24 11:06:18,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -89,        3,        2,   0.  0.  0.  0,   6, E21D02, 
10:0D:7F:DB:BB:8A, 2017-07-24 10:56:22, 2017-07-24 11:06:39,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -88,      200,       37,   0.  0.  0.  0,   8, Martinez, 
10:0D:7F:DC:83:81, 2017-07-24 10:56:22, 2017-07-24 11:06:25,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -88,       63,       39,   0.  0.  0.  0,   6, DC8381, 
BC:EE:7B:7C:C4:08, 2017-07-24 10:56:20, 2017-07-24 11:06:40,  8,  54, WPA2, CCMP,PSK, -78,      161,       40,   0.  0.  0.  0,   4, ASUS, 
78:24:AF:ED:AB:A0, 2017-07-24 10:56:20, 2017-07-24 11:06:43,  6,  54, WPA2, CCMP,PSK, -64,      464,       35,   0.  0.  0.  0,  15, Prettyfly4awifi, 
B8:C7:5D:0C:A9:F7, 2017-07-24 10:56:20, 2017-07-24 11:06:43,  6,  54, WPA2, CCMP,PSK, -53,      598,      164,   0.  0.  0.  0,   6, Bender, 
D4:D7:48:45:79:01, 2017-07-24 10:56:20, 2017-07-24 11:06:43,  6,  11, WPA2, CCMP TKIP, MGT, -49,      678,       12,   0.  0.  0.  0,  28, clvmobile\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
14:1F:78:AF:34:56, 2017-07-24 10:56:30, 2017-07-24 11:05:34, -66,       11, 78:24:AF:ED:AB:A0,
20:A9:0E:01:15:4B, 2017-07-24 11:03:50, 2017-07-24 11:05:24, -88,        5, (not associated) ,
DA:A1:19:AF:16:5E, 2017-07-24 11:03:59, 2017-07-24 11:03:59, -85,        4, (not associated) ,
00:26:82:DA:02:7D, 2017-07-24 10:57:46, 2017-07-24 11:03:46, -68,       14, (not associated) ,
60:5B:B4:69:21:4F, 2017-07-24 11:03:34, 2017-07-24 11:03:34,  -1,        1, 10:0D:7F:DB:BB:8A,
EC:88:92:D7:DE:DC, 2017-07-24 11:02:47, 2017-07-24 11:02:47, -78,        2, (not associated) ,
DA:A1:19:6B:92:59, 2017-07-24 11:02:44, 2017-07-24 11:02:44, -81,        5, (not associated) ,
2C:08:8C:20:F2:3C, 2017-07-24 11:01:59, 2017-07-24 11:01:59, -88,        6, (not associated) ,
DA:A1:19:B4:AD:D1, 2017-07-24 11:01:44, 2017-07-24 11:01:44, -83,        3, (not associated) ,
0C:47:C9:9D:6E:D1, 2017-07-24 11:00:57, 2017-07-24 11:00:57, -93,        1, 9C:AD:97:63:C5:23,
DA:A1:19:21:B1:87, 2017-07-24 10:59:58, 2017-07-24 10:59:59, -79,        3, (not associated) ,
DA:A1:19:77:BB:30, 2017-07-24 10:59:44, 2017-07-24 10:59:44, -78,        7, (not associated) ,
A0:18:28:E7:D5:EA, 2017-07-24 10:59:24, 2017-07-24 10:59:24, -87,        1, 68:7F:74:E8:7F:F6,
DA:A1:19:5B:95:8C, 2017-07-24 10:57:59, 2017-07-24 10:57:59, -89,        2, (not associated) ,
DA:A1:19:BA:AE:30, 2017-07-24 10:57:13, 2017-07-24 10:57:13, -81,        6, (not associated) ,
E8:B1:FC:76:63:3A, 2017-07-24 10:56:32, 2017-07-24 10:56:32, -71,        2, (not associated) ,Bender
DA:A1:19:2F:CA:6D, 2017-07-24 10:56:29, 2017-07-24 10:56:29, -90,        3, (not associated) ,
DA:A1:19:39:FC:58, 2017-07-24 10:57:28, 2017-07-24 10:57:28, -80,        1, (not associated) ,
DA:A1:19:E7:87:F3, 2017-07-24 10:57:43, 2017-07-24 10:57:43, -81,        7, (not associated) ,
DA:A1:19:B8:45:F6, 2017-07-24 10:58:43, 2017-07-24 10:58:43, -83,        1, (not associated) ,
DA:A1:19:B0:0E:B5, 2017-07-24 10:59:28, 2017-07-24 10:59:28, -79,        3, (not associated) ,
DA:A1:19:65:8F:D9, 2017-07-24 11:01:28, 2017-07-24 11:01:28, -84,        1, (not associated) ,
30:85:A9:E1:AC:D1, 2017-07-24 10:56:23, 2017-07-24 11:01:31, -44,       96, D4:D7:48:45:79:01,SuperMegaFunHentaiPornserver,HP8D05126
CC:3A:61:35:F2:AB, 2017-07-24 11:01:52, 2017-07-24 11:01:52,  -1,        1, BC:EE:7B:7C:C4:08,
DA:A1:19:D2:95:2E, 2017-07-24 11:02:13, 2017-07-24 11:02:14, -84,        8, (not associated) ,
DA:A1:19:DC:03:11, 2017-07-24 11:02:29, 2017-07-24 11:02:29, -83,        6, (not associated) ,
2C:54:CF:C5:9F:85, 2017-07-24 11:02:53, 2017-07-24 11:02:55,  -1,        5, EE:AA:A0:95:94:6E,
56:D6:E8:65:44:B5, 2017-07-24 11:02:40, 2017-07-24 11:03:28, -87,        2, 00:25:00:FF:94:73,
DA:A1:19:EE:1F:9C, 2017-07-24 11:03:29, 2017-07-24 11:03:29, -86,        3, (not associated) ,
D0:E7:82:F2:41:DF, 2017-07-24 11:03:53, 2017-07-24 11:03:53,  -1,        1, 10:0D:7F:DC:83:81,
2C:08:8C:8C:BA:68, 2017-07-24 10:58:41, 2017-07-24 11:04:03, -88,        4, EC:0E:C4:0D:2A:62,DDW365.0D2A62-2.4G
FC:C2:DE:25:09:EF, 2017-07-24 11:04:07, 2017-07-24 11:04:07,  -1,        1, 84:1B:5E:42:50:36,
74:4A:A4:6C:71:50, 2017-07-24 10:59:17, 2017-07-24 11:04:17, -90,        4, (not associated) ,
DA:A1:19:6E:6E:48, 2017-07-24 11:04:14, 2017-07-24 11:04:14, -82,        7, (not associated) ,
