
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
10:0D:7F:DB:BB:8A, 2017-07-24 12:57:08, 2017-07-24 13:11:05,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -90,       30,        7,   0.  0.  0.  0,   8, Martinez, 
EC:1A:59:95:F5:14, 2017-07-24 12:57:03, 2017-07-24 13:08:42,  1,  54, WPA2, CCMP,PSK, -91,        1,        0,   0.  0.  0.  0,  10, belkin.514, 
62:6D:C7:8B:EF:20, 2017-07-24 12:58:18, 2017-07-24 13:02:31,  6,  54, WPA2, CCMP,PSK, -66,      128,        0,   0.  0.  0.  0,  16, DIRECT-Me-BRAVIA, 
3C:7A:8A:F9:B4:BA, 2017-07-24 12:59:20, 2017-07-24 13:01:19,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -92,        3,        0,   0.  0.  0.  0,   6, F9B4BA, 
EC:AA:A0:95:94:68, 2017-07-24 13:00:46, 2017-07-24 13:00:46, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -89,        0,        0,   0.  0.  0.  0,   8, Wireless, 
D4:D7:48:80:F0:21, 2017-07-24 12:56:26, 2017-07-24 12:57:21,  6,  11, WPA2, CCMP TKIP, MGT, -41,       86,        0,   0.  0.  0.  0,  15, clvmobile\x00\x00\x00\x00\x00\x00, 
2C:33:7A:96:D2:4A, 2017-07-24 12:56:34, 2017-07-24 12:56:34, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -91,        2,        0,   0.  0.  0.  0,  10, Cox Router, 
D4:D7:48:80:F0:25, 2017-07-24 12:57:26, 2017-07-24 12:58:25,  6,  11, WPA2, CCMP TKIP, MGT, -41,       99,        0,   0.  0.  0.  0,  15, clvmobile\x00\x00\x00\x00\x00\x00, 
D4:D7:48:80:F0:23, 2017-07-24 12:58:32, 2017-07-24 12:58:36,  6,  11, WPA2, CCMP TKIP, MGT, -41,        9,        0,   0.  0.  0.  0,  15, clvmobile\x00\x00\x00\x00\x00\x00, 
20:25:64:FE:6A:C0, 2017-07-24 12:56:43, 2017-07-24 13:10:16, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       69,      115,   0.  0.  0.  0,   6, fe6ac0, 
10:0D:7F:DB:09:43, 2017-07-24 12:59:45, 2017-07-24 13:11:43,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -92,       21,       11,   0.  0.  0.  0,   6, DB0943, 
10:0D:7F:DD:BE:46, 2017-07-24 12:58:15, 2017-07-24 13:11:14,  1,  54, WPA2, CCMP,PSK, -92,        9,        6,   0.  0.  0.  0,   6, DDBE46, 
9C:AD:97:63:C5:23, 2017-07-24 12:57:18, 2017-07-24 13:11:38,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -92,      107,        0,   0.  0.  0.  0,  18, DDW365.63C523-2.4G, 
EC:0E:C4:0D:2A:62, 2017-07-24 12:57:55, 2017-07-24 13:11:27, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -91,       23,        2,   0.  0.  0.  0,  18, DDW365.0D2A62-2.4G, 
14:91:82:F0:0C:26, 2017-07-24 13:01:04, 2017-07-24 13:11:36, 10,  54, WPA2, CCMP,PSK, -90,        8,        0,   0.  0.  0.  0,   9, HausAvila, 
10:0D:7F:DC:83:81, 2017-07-24 12:56:44, 2017-07-24 13:11:38,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       43,       28,   0.  0.  0.  0,   6, DC8381, 
9C:34:26:FC:11:6F, 2017-07-24 12:56:34, 2017-07-24 13:11:32, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -89,       53,        0,   0.  0.  0.  0,   8, Madden01, 
84:1B:5E:42:50:36, 2017-07-24 12:56:34, 2017-07-24 13:11:28,  6,  54, WPA2, CCMP,PSK, -88,       29,        1,   0.  0.  0.  0,   9, NETGEAR15, 
38:70:0C:CB:62:58, 2017-07-24 12:56:29, 2017-07-24 13:11:28, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -88,       68,        0,   0.  0.  0.  0,   6, CB6258, 
AC:5F:3E:47:8C:17, 2017-07-24 13:11:27, 2017-07-24 13:11:33,  6,  54, WPA2, CCMP,PSK, -80,        5,        3,   0.  0.  0.  0,  25, Samsung Galaxy Note5 1480, 
BC:EE:7B:7C:C4:08, 2017-07-24 12:56:27, 2017-07-24 13:11:45,  8,  54, WPA2, CCMP,PSK, -79,      653,      266,   0.  0.  0.  0,   4, ASUS, 
78:24:AF:ED:AB:A0, 2017-07-24 12:56:26, 2017-07-24 13:11:46,  6,  54, WPA2, CCMP,PSK, -74,     1255,      255,   0.  0.  0.  0,  15, Prettyfly4awifi, 
B8:C7:5D:0C:A9:F7, 2017-07-24 12:56:26, 2017-07-24 13:11:46,  6,  54, WPA2, CCMP,PSK, -53,     1460,      223,   0.  0.  0.  0,   6, Bender, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DA:A1:19:C8:D5:89, 2017-07-24 13:09:49, 2017-07-24 13:09:49, -84,        1, (not associated) ,
DA:A1:19:72:ED:A1, 2017-07-24 13:09:49, 2017-07-24 13:09:49, -85,        1, (not associated) ,
DA:A1:19:40:16:01, 2017-07-24 13:09:28, 2017-07-24 13:09:28, -85,        1, (not associated) ,
DA:A1:19:8E:D2:86, 2017-07-24 13:09:17, 2017-07-24 13:09:17, -86,        1, (not associated) ,
DA:A1:19:92:0D:F8, 2017-07-24 13:09:17, 2017-07-24 13:09:17, -86,        1, (not associated) ,
AC:5F:3E:C1:8C:52, 2017-07-24 12:58:53, 2017-07-24 13:08:53,  -1,        4, BC:EE:7B:7C:C4:08,
56:D6:E8:65:44:B5, 2017-07-24 12:58:42, 2017-07-24 13:08:40, -87,       12, 00:25:00:FF:94:73,
08:62:66:09:D5:6B, 2017-07-24 13:05:04, 2017-07-24 13:08:42, -87,        9, EC:1A:59:95:F5:14,
80:29:94:08:B0:8D, 2017-07-24 12:56:28, 2017-07-24 13:08:28, -91,       20, (not associated) ,CenturyLink8943
30:96:FB:8B:04:49, 2017-07-24 13:01:00, 2017-07-24 13:07:03, -64,        8, (not associated) ,
AC:0D:1B:EC:09:0A, 2017-07-24 13:07:03, 2017-07-24 13:07:03, -77,        1, (not associated) ,
DA:A1:19:CD:11:C5, 2017-07-24 13:06:28, 2017-07-24 13:06:28, -81,        1, (not associated) ,
DA:A1:19:21:2E:E2, 2017-07-24 13:06:28, 2017-07-24 13:06:28, -85,        1, (not associated) ,
DA:A1:19:D7:89:3D, 2017-07-24 13:06:28, 2017-07-24 13:06:28, -89,        1, (not associated) ,
DA:A1:19:22:2F:E3, 2017-07-24 13:06:17, 2017-07-24 13:06:17, -82,        1, (not associated) ,
DA:A1:19:51:5E:12, 2017-07-24 13:06:17, 2017-07-24 13:06:17, -88,        1, (not associated) ,
DA:A1:19:32:3F:2A, 2017-07-24 13:06:06, 2017-07-24 13:06:06, -86,        1, (not associated) ,
B4:3A:28:FC:B6:48, 2017-07-24 13:05:52, 2017-07-24 13:05:52,  -1,        1, BC:EE:7B:7C:C4:08,
D0:E7:82:F2:41:DF, 2017-07-24 12:57:16, 2017-07-24 13:05:16, -94,        8, (not associated) ,DC8381
DA:A1:19:5C:D7:8B, 2017-07-24 13:05:03, 2017-07-24 13:05:03, -83,        1, (not associated) ,
DA:A1:19:7E:8B:76, 2017-07-24 13:04:42, 2017-07-24 13:04:42, -86,        1, (not associated) ,
DA:A1:19:D2:DF:CA, 2017-07-24 13:04:42, 2017-07-24 13:04:42, -89,        1, (not associated) ,
DA:A1:19:31:2D:E1, 2017-07-24 13:03:49, 2017-07-24 13:03:49, -83,        1, (not associated) ,
DA:A1:19:3C:49:34, 2017-07-24 13:03:03, 2017-07-24 13:03:03, -80,        1, (not associated) ,
DA:A1:19:C1:AA:95, 2017-07-24 13:03:03, 2017-07-24 13:03:03, -82,        1, (not associated) ,
DA:A1:19:24:68:53, 2017-07-24 13:03:03, 2017-07-24 13:03:03, -84,        1, (not associated) ,
DA:A1:19:B5:F9:E4, 2017-07-24 13:02:53, 2017-07-24 13:02:53, -81,        1, (not associated) ,
DA:A1:19:A2:AF:63, 2017-07-24 13:02:42, 2017-07-24 13:02:42, -83,        1, (not associated) ,
DA:A1:19:83:FE:B2, 2017-07-24 13:02:42, 2017-07-24 13:02:42, -87,        1, (not associated) ,
DA:A1:19:76:F1:A5, 2017-07-24 13:02:42, 2017-07-24 13:02:42, -87,        1, (not associated) ,
DA:A1:19:1A:CC:80, 2017-07-24 13:01:28, 2017-07-24 13:01:28, -83,        1, (not associated) ,
DA:A1:19:94:7D:31, 2017-07-24 13:01:17, 2017-07-24 13:01:17, -80,        1, (not associated) ,
DA:A1:19:CE:12:C6, 2017-07-24 13:01:17, 2017-07-24 13:01:17, -80,        1, (not associated) ,
DA:A1:19:0F:53:3E, 2017-07-24 13:01:18, 2017-07-24 13:01:18, -82,        1, (not associated) ,
DA:A1:19:7D:F8:E3, 2017-07-24 13:01:18, 2017-07-24 13:01:18, -82,        1, (not associated) ,
DA:A1:19:CC:B5:69, 2017-07-24 13:00:14, 2017-07-24 13:00:14, -85,        1, (not associated) ,
DA:A1:19:27:A2:56, 2017-07-24 13:00:03, 2017-07-24 13:00:03, -80,        1, (not associated) ,
DA:A1:19:5B:D6:8A, 2017-07-24 13:00:03, 2017-07-24 13:00:03, -81,        1, (not associated) ,
DA:A1:19:7F:8C:40, 2017-07-24 13:00:03, 2017-07-24 13:00:03, -84,        1, (not associated) ,
DA:A1:19:B1:87:72, 2017-07-24 12:59:42, 2017-07-24 12:59:42, -87,        1, (not associated) ,
DA:A1:19:D9:1D:08, 2017-07-24 12:58:49, 2017-07-24 12:58:49, -81,        1, (not associated) ,
DA:A1:19:EE:FB:E6, 2017-07-24 12:58:49, 2017-07-24 12:58:49, -88,        1, (not associated) ,
