
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:24:8D:37:BA:42, 2017-07-28 19:29:16, 2017-07-28 19:29:16,  6,  54, WPA2, CCMP,PSK, -78,        1,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:37:BA:41, 2017-07-28 19:29:16, 2017-07-28 19:29:16,  6,  54, WPA2, CCMP,PSK, -89,        1,        0,   0.  0.  0.  0,   5, ALPHA, 
C8:B5:AD:CF:59:A0, 2017-07-28 19:29:28, 2017-07-28 19:29:28, -1,  -1, , ,   , -89,        0,        0,   0.  0.  0.  0,   0, , 
84:24:8D:32:9E:92, 2017-07-28 19:29:25, 2017-07-28 19:29:35,  1,  54, WPA2, CCMP,PSK, -88,        5,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:32:9E:91, 2017-07-28 19:29:25, 2017-07-28 19:29:35,  1,  54, WPA2, CCMP,PSK, -88,        6,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:32:CF:42, 2017-07-28 19:29:25, 2017-07-28 19:29:39,  1,  54, WPA2, CCMP,PSK, -85,        4,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:36:8A:E2, 2017-07-28 19:29:16, 2017-07-28 19:29:39,  6,  54, WPA2, CCMP,PSK, -84,       20,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:32:CF:41, 2017-07-28 19:29:25, 2017-07-28 19:29:39,  1,  54, WPA2, CCMP,PSK, -82,        4,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:36:8A:E1, 2017-07-28 19:29:16, 2017-07-28 19:29:39,  6,  54, WPA2, CCMP,PSK, -82,       21,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:32:CC:22, 2017-07-28 19:29:19, 2017-07-28 19:29:29, 11,  54, WPA2, CCMP,PSK, -82,        3,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:32:CC:21, 2017-07-28 19:29:19, 2017-07-28 19:29:29, 11,  54, WPA2, CCMP,PSK, -81,        3,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:36:8D:C1, 2017-07-28 19:29:20, 2017-07-28 19:29:39,  1,  54, WPA2, CCMP,PSK, -79,        9,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:36:8D:C2, 2017-07-28 19:29:20, 2017-07-28 19:29:39,  1,  54, WPA2, CCMP,PSK, -78,        9,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:32:B4:22, 2017-07-28 19:29:15, 2017-07-28 19:29:39,  6,  54, WPA2, CCMP,PSK, -78,       18,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:32:B4:21, 2017-07-28 19:29:15, 2017-07-28 19:29:34,  6,  54, WPA2, CCMP,PSK, -78,       19,        0,   0.  0.  0.  0,   5, ALPHA, 
06:41:69:08:49:40, 2017-07-28 19:29:18, 2017-07-28 19:29:39, 11,  54, WPA2, CCMP,PSK, -78,       27,        0,   0.  0.  0.  0,  10, GP34900994, 
F6:DD:9E:54:E5:7B, 2017-07-28 19:29:25, 2017-07-28 19:29:40,  1,  54, WPA2, CCMP,PSK, -77,        7,        1,   0.  0.  0.  0,  10, GP24602229, 
84:24:8D:37:EC:02, 2017-07-28 19:29:20, 2017-07-28 19:29:39,  1,  54, WPA2, CCMP,PSK, -76,        8,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:37:EC:01, 2017-07-28 19:29:20, 2017-07-28 19:29:39,  1,  54, WPA2, CCMP,PSK, -76,        9,        0,   0.  0.  0.  0,   5, ALPHA, 
C8:B5:AD:CF:57:40, 2017-07-28 19:29:19, 2017-07-28 19:29:38, 11,  54, WPA2, CCMP, MGT, -75,       11,        9,   0.  0.  0.  0,   6, DefCon, 
84:24:8D:37:C5:C1, 2017-07-28 19:29:19, 2017-07-28 19:29:38, 11,  54, WPA2, CCMP,PSK, -71,       11,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:37:C5:C2, 2017-07-28 19:29:19, 2017-07-28 19:29:38, 11,  54, WPA2, CCMP,PSK, -71,       11,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:36:88:F2, 2017-07-28 19:29:20, 2017-07-28 19:29:39,  1,  54, WPA2, CCMP,PSK, -68,        7,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:36:88:F1, 2017-07-28 19:29:20, 2017-07-28 19:29:39,  1,  54, WPA2, CCMP,PSK, -67,        7,        0,   0.  0.  0.  0,   5, ALPHA, 
84:24:8D:32:B3:82, 2017-07-28 19:29:15, 2017-07-28 19:29:39,  6,  54, WPA2, CCMP,PSK, -59,       30,        0,   0.  0.  0.  0,   4, BETA, 
84:24:8D:32:B3:81, 2017-07-28 19:29:15, 2017-07-28 19:29:39,  6,  54, WPA2, CCMP,PSK, -58,       31,        0,   0.  0.  0.  0,   5, ALPHA, 
70:AF:6A:7E:6F:9A, 2017-07-28 19:29:15, 2017-07-28 19:29:41,  6,  54, WPA2, CCMP,PSK, -59,       69,        8,   0.  0.  0.  0,  14, 360WiFi-7E6F9A, 
02:C0:CA:91:73:95, 2017-07-28 19:29:18, 2017-07-28 19:29:40, 11,  54, WPA2, CCMP,PSK, -57,       31,        0,   0.  0.  0.  0,  10, FIOS-F2457, 
C8:B5:AD:CF:55:C0, 2017-07-28 19:29:15, 2017-07-28 19:29:39,  1,  54, WPA2, CCMP, MGT, -52,       10,        0,   0.  0.  0.  0,   6, DefCon, 
70:AF:6A:05:78:A1, 2017-07-28 19:29:15, 2017-07-28 19:29:40,  1,  54, WPA2, CCMP,PSK, -48,       25,        2, 192.168.  0.  1,  14, 360WiFi-0578A1, 
70:AF:6A:7E:52:2A, 2017-07-28 19:29:16, 2017-07-28 19:29:40,  6,  54, WPA2, CCMP,PSK, -48,       55,       14,   0.  0.  0.  0,  14, 360WiFi-7E522A, 
70:AF:6A:05:0F:D7, 2017-07-28 19:29:16, 2017-07-28 19:29:40,  1,  54, WPA2, CCMP,PSK, -49,       19,        2,   0.  0.  0.  0,  14, 360WiFi-050FD7, 
50:C7:BF:26:F3:97, 2017-07-28 19:29:18, 2017-07-28 19:29:39, 11,  54, WPA2, CCMP TKIP,PSK, -43,       30,        0,   0.  0.  0.  0,  11, 4R7W0D337W0, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E2:67:2B:58:AE:9D, 2017-07-28 19:29:19, 2017-07-28 19:29:19, -91,        1, (not associated) ,
8A:FC:BA:19:49:C3, 2017-07-28 19:29:24, 2017-07-28 19:29:24, -86,        2, (not associated) ,
AC:22:0B:E2:53:D1, 2017-07-28 19:29:22, 2017-07-28 19:29:22, -81,        1, (not associated) ,
CA:30:22:69:28:F8, 2017-07-28 19:29:19, 2017-07-28 19:29:26, -77,       13, (not associated) ,
FA:EF:77:81:7E:41, 2017-07-28 19:29:35, 2017-07-28 19:29:36, -77,        6, (not associated) ,
9C:D9:17:BE:26:9B, 2017-07-28 19:29:15, 2017-07-28 19:29:16, -73,        6, (not associated) ,
00:40:8C:82:E3:C4, 2017-07-28 19:29:33, 2017-07-28 19:29:35, -73,        5, (not associated) ,360WiFi-0578A1
5E:B9:9C:7A:47:E6, 2017-07-28 19:29:35, 2017-07-28 19:29:35, -71,        1, (not associated) ,
8C:70:5A:87:00:A4, 2017-07-28 19:29:23, 2017-07-28 19:29:23, -70,        3, (not associated) ,
24:77:03:3A:81:10, 2017-07-28 19:29:26, 2017-07-28 19:29:26, -70,       10, (not associated) ,DefCon-Open
10:A5:D0:EB:EC:D5, 2017-07-28 19:29:18, 2017-07-28 19:29:38, -70,        5, (not associated) ,
A0:CC:2B:92:30:2E, 2017-07-28 19:29:37, 2017-07-28 19:29:37, -68,        1, (not associated) ,
F8:27:93:4D:72:1E, 2017-07-28 19:29:16, 2017-07-28 19:29:39, -65,       38, 84:24:8D:32:B3:80,CAESARS,TMobileWingman
B8:8D:12:3C:6F:E6, 2017-07-28 19:29:30, 2017-07-28 19:29:39, -66,       10, C8:B5:AD:CF:55:C1,
D0:13:FD:39:3F:A6, 2017-07-28 19:29:21, 2017-07-28 19:29:22, -63,        3, (not associated) ,
D0:65:CA:6A:B4:E7, 2017-07-28 19:29:29, 2017-07-28 19:29:29, -63,        3, (not associated) ,
CC:79:4A:F6:12:6F, 2017-07-28 19:29:32, 2017-07-28 19:29:40, -44,        5, C8:B5:AD:CF:55:C1,
3A:F2:99:7E:82:BC, 2017-07-28 19:29:37, 2017-07-28 19:29:37, -61,        8, (not associated) ,
5E:00:5B:5F:66:E1, 2017-07-28 19:29:20, 2017-07-28 19:29:20, -59,        2, (not associated) ,
C4:6E:1F:1D:0E:86, 2017-07-28 19:29:30, 2017-07-28 19:29:39, -58,       28, C8:B5:AD:CF:55:C1,
60:57:18:68:77:ED, 2017-07-28 19:29:25, 2017-07-28 19:29:34, -59,       16, 70:AF:6A:05:0F:D7,
40:E2:30:ED:CC:37, 2017-07-28 19:29:24, 2017-07-28 19:29:33, -57,        9, C8:B5:AD:CF:57:40,
16:35:44:69:4C:C6, 2017-07-28 19:29:21, 2017-07-28 19:29:29, -57,       17, 00:25:00:FF:94:73,
AC:BC:32:9F:18:C9, 2017-07-28 19:29:19, 2017-07-28 19:29:21, -50,        6, (not associated) ,
DA:A1:19:42:9F:4B, 2017-07-28 19:29:19, 2017-07-28 19:29:19, -50,        1, (not associated) ,
DA:A1:19:C4:08:46, 2017-07-28 19:29:39, 2017-07-28 19:29:39, -62,        1, (not associated) ,
A8:B8:6E:6B:ED:29, 2017-07-28 19:29:40, 2017-07-28 19:29:41, -74,        5, (not associated) ,
18:A6:F7:11:4D:B0, 2017-07-28 19:29:41, 2017-07-28 19:29:41, -57,        2, (not associated) ,
18:A6:F7:11:4B:B6, 2017-07-28 19:29:41, 2017-07-28 19:29:41, -58,        1, (not associated) ,
18:A6:F7:07:91:CA, 2017-07-28 19:29:41, 2017-07-28 19:29:41, -57,        2, (not associated) ,

